DeathMaritalStatusMaritalStatusDesc,DeathCOD113ICDCode113Desc,Deaths,DeathAgeAdjustedRate11,SORT
Total,All other forms of chronic ischemic heart disease (I20I25.1-I25.9),27,0.2,1131
Total,Acute and subacute endocarditis (I33),0,N/A,1152
Total,Diseases of pericardium and acute myocarditis (I30-I31I40),0,N/A,1173
Total,Heart failure (I50),18,0.1,1194
Total,All other forms of heart disease (I26-I28I34-I38I42-I49I51),17,0.1,1215
Total,Essential (primary) hypertension and hypertensive renal disease (I10I12I15),5,N/A,1236
Total,Cerebrovascular diseases (I60-I69),32,0.2,1257
Total,Atherosclerosis (I70),0,N/A,1278
Total,Aortic aneurysm and dissection (I71),2,N/A,1299
Total,Other diseases of arteries arterioles and capillaries (I72-I78),3,N/A,1320
Total,Other disorders of circulatory system (I80-I99),0,N/A,1341
Total,Influenza (J09-J11),0,N/A,1362
Total,Pneumonia (J12-J18),6,N/A,1383
Total,Acute bronchitis and bronchiolitis (J20-J21),0,N/A,1404
Total,Unspecified acute lower respiratory infection (J22U049U071),103,0.7,1425
Total,Bronchitis chronic and unspecified (J40-J42),0,N/A,1446
Total,Emphysema (J43),1,N/A,1467
Total,Asthma (J45-J46),0,N/A,1488
Total,Other chronic lower respiratory diseases (J44J47),16,0.1,1509
Total,Pneumoconioses and chemical effects (J60-J66J68),0,N/A,1530
Total,Pneumonitis due to solids and liquids (J69),3,N/A,1551
Total,Other diseases of respiratory system (J00-J06J30-J39J67J70-J98),4,N/A,1572
Total,Peptic ulcer (K25-K28),0,N/A,1593
Total,Diseases of appendix (K35-K38),0,N/A,1614
Total,Hernia (K40-K46),1,N/A,1635
Total,Alcoholic liver disease (K70),3,N/A,1656
Total,Other chronic liver disease and cirrhosis (K73-K74),1,N/A,1677
Total,Cholelithiasis and other disorders of gallbladder (K80-K82),0,N/A,1698
Total,Acute and rapidly progressive nephritic and nephrotic syndrome (N00-N01N04),0,N/A,1719
Total,Chronic glomerulonephritis nephritis and nephritis not specified as acute or chronicand renal sclerosis unspecified (N02-N03N05-N07N26),0,N/A,1740
Total,Renal failure (N17-N19),8,N/A,1761
Total,Other disorders of kidney (N25N27),0,N/A,1782
Total,Infections of kidney (N10-N12N13.6N15.1),0,N/A,1803
Total,Hyperplasia of prostate (N40),0,N/A,1824
Total,Inflammatory diseases of female pelvic organs (N70-N76),0,N/A,1845
Total,Pregnancy with abortive outcome (O00-O07),0,N/A,1866
Total,Other complications of pregnancy childbirth and the puerperium (O10-O99),1,N/A,1887
Total,Certain conditions originating in the perinatal period (P00-P96),0,N/A,1908
Total,Congenital malformations deformations and chromosomal abnormalities (Q00-Q99),0,N/A,1929
Total,Symptoms signs and abnormal clinical and laboratory findings not elsewhere classified (R00-R99),3941,26.1,1950
Total,All other diseases (Residual) (D65-E07E15-E34E65-F99G04-G12G23-G25G31-H93K00-K22K29-K31K50-K66K71-K72K75-K76K83-M99N13.0-N13.5N13.7-N13.9N14N15.0N15.8-N15.9N20-N23N28-N39N41-N64N80-N98),71,0.5,1971
Total,Motor vehicle accidents (V02-V04V09.0V09.2V12-V14V19.0-V19.2V19.4-V19.6V20-V79V80.3-V80.5V81.0-V81.1V82.0-V82.1V83-V86V87.0-V87.8V88.0-V88.8V89.0V89.2),4,N/A,1992
Total,Other land transport accidents (V01V05-V06V09.1V09.3-V09.9V10-V11V15-V18V19.3V19.8-V19.9V80.0-V80.2V80.6-V80.9V81.2-V81.9V82.2-V82.9V87.9V88.9V89.1V89.3V89.9),0,N/A,2013
Total,Water air and space and other and unspecified transport accidents and their sequelae (V90-V99Y85),0,N/A,2034
Total,Falls (W00-W19),3,N/A,2055
Total,Accidental discharge of firearms (W32-W34),1,N/A,2076
Total,Accidental drowning and submersion (W65-W74),0,N/A,2097
Total,Accidental exposure to smoke fire and flames (X00-X09),0,N/A,2118
Total,Accidental poisoning and exposure to noxious substances (X40-X49),2,N/A,2139
Total,Other and unspecified nontransport accidents and their sequelae (W20-W31W35-W64W75-W99X10-X39X50-X59Y86),3,N/A,2160
Total,Intentional self-harm (suicide) by discharge of firearms (X72-X74),6,N/A,2181
Total,Intentional self-harm (suicide) by other and unspecified means and their sequelae (*U03X60-X71X75-X84Y87.0),1,N/A,2202
Total,Assault (homicide) by discharge of firearms (*U01.4X93-X95),1,N/A,2223
Total,Assault (homicide) by other and unspecified means and their sequelae (*U01.0-*U01.3*U01.5-*U01.9*U02X85-X92X96-Y09Y87.1),0,N/A,2244
Total,Legal intervention (Y35Y89.0),0,N/A,2265
Total,Discharge of firearms undetermined intent (Y22-Y24),0,N/A,2286
Total,Other and unspecified events of undetermined intent and their sequelae (Y10-Y21Y25-Y34Y87.2Y89.9),0,N/A,2307
Total,Operations of war and their sequelae (Y36Y89.1),0,N/A,2328
Total,Complications of medical and surgical care (Y40-Y84Y88),0,N/A,2349
Total,Total,4511,29.8,2370
