DeathEthnicityEthnicityDesc,DeathYearYear,DeathCOD358ICDCode358Desc,Deaths,DeathAgeAdjustedRate11,SORT
Non-Hispanic,2021 **,Atherosclerosis (I70),0,N/A,6204
Non-Hispanic,Total,Atherosclerosis (I70),183,0.6,6207
Unknown,2020 **,Atherosclerosis (I70),0,N/A,6210
Unknown,2021 **,Atherosclerosis (I70),0,N/A,6213
Unknown,Total,Atherosclerosis (I70),0,N/A,6216
Total,2020 **,Atherosclerosis (I70),184,1.2,6219
Total,2021 **,Atherosclerosis (I70),0,N/A,6222
Total,Total,Atherosclerosis (I70),184,0.6,6225
Hispanic,2020 **,Aortic aneurysm and dissection(I71),2,N/A,6228
Hispanic,2021 **,Aortic aneurysm and dissection(I71),0,N/A,6231
Hispanic,Total,Aortic aneurysm and dissection(I71),2,N/A,6234
Non-Hispanic,2020 **,Aortic aneurysm and dissection(I71),393,2.7,6237
Non-Hispanic,2021 **,Aortic aneurysm and dissection(I71),1,N/A,6240
Non-Hispanic,Total,Aortic aneurysm and dissection(I71),394,1.3,6243
Unknown,2020 **,Aortic aneurysm and dissection(I71),0,N/A,6246
Unknown,2021 **,Aortic aneurysm and dissection(I71),0,N/A,6249
Unknown,Total,Aortic aneurysm and dissection(I71),0,N/A,6252
Total,2020 **,Aortic aneurysm and dissection(I71),395,2.6,6255
Total,2021 **,Aortic aneurysm and dissection(I71),1,N/A,6258
Total,Total,Aortic aneurysm and dissection(I71),396,1.3,6261
Hispanic,2020 **,Other diseases of arteries arterioles and capillaries (I72-I78),6,N/A,6264
Hispanic,2021 **,Other diseases of arteries arterioles and capillaries (I72-I78),0,N/A,6267
Hispanic,Total,Other diseases of arteries arterioles and capillaries (I72-I78),6,N/A,6270
Non-Hispanic,2020 **,Other diseases of arteries arterioles and capillaries (I72-I78),435,2.8,6273
Non-Hispanic,2021 **,Other diseases of arteries arterioles and capillaries (I72-I78),2,N/A,6276
Non-Hispanic,Total,Other diseases of arteries arterioles and capillaries (I72-I78),437,1.4,6279
Unknown,2020 **,Other diseases of arteries arterioles and capillaries (I72-I78),0,N/A,6282
Unknown,2021 **,Other diseases of arteries arterioles and capillaries (I72-I78),0,N/A,6285
Unknown,Total,Other diseases of arteries arterioles and capillaries (I72-I78),0,N/A,6288
Total,2020 **,Other diseases of arteries arterioles and capillaries (I72-I78),441,2.8,6291
Total,2021 **,Other diseases of arteries arterioles and capillaries (I72-I78),2,N/A,6294
Total,Total,Other diseases of arteries arterioles and capillaries (I72-I78),443,1.4,6297
Hispanic,2020 **,Phlebitis thrombophlebitis venous embolism and thrombosis (I80-I82),3,N/A,6300
Hispanic,2021 **,Phlebitis thrombophlebitis venous embolism and thrombosis (I80-I82),0,N/A,6303
Hispanic,Total,Phlebitis thrombophlebitis venous embolism and thrombosis (I80-I82),3,N/A,6306
Non-Hispanic,2020 **,Phlebitis thrombophlebitis venous embolism and thrombosis (I80-I82),108,0.9,6309
Non-Hispanic,2021 **,Phlebitis thrombophlebitis venous embolism and thrombosis (I80-I82),0,N/A,6312
Non-Hispanic,Total,Phlebitis thrombophlebitis venous embolism and thrombosis (I80-I82),108,0.4,6315
Unknown,2020 **,Phlebitis thrombophlebitis venous embolism and thrombosis (I80-I82),0,N/A,6318
Unknown,2021 **,Phlebitis thrombophlebitis venous embolism and thrombosis (I80-I82),0,N/A,6321
Unknown,Total,Phlebitis thrombophlebitis venous embolism and thrombosis (I80-I82),0,N/A,6324
Total,2020 **,Phlebitis thrombophlebitis venous embolism and thrombosis (I80-I82),111,0.9,6327
Total,2021 **,Phlebitis thrombophlebitis venous embolism and thrombosis (I80-I82),0,N/A,6330
Total,Total,Phlebitis thrombophlebitis venous embolism and thrombosis (I80-I82),111,0.4,6333
Hispanic,2020 **,All other and unspecified disorders of circulatory system(I83-I99),0,N/A,6336
Hispanic,2021 **,All other and unspecified disorders of circulatory system(I83-I99),0,N/A,6339
Hispanic,Total,All other and unspecified disorders of circulatory system(I83-I99),0,N/A,6342
Non-Hispanic,2020 **,All other and unspecified disorders of circulatory system(I83-I99),43,0.3,6345
Non-Hispanic,2021 **,All other and unspecified disorders of circulatory system(I83-I99),0,N/A,6348
Non-Hispanic,Total,All other and unspecified disorders of circulatory system(I83-I99),43,0.1,6351
Unknown,2020 **,All other and unspecified disorders of circulatory system(I83-I99),0,N/A,6354
Unknown,2021 **,All other and unspecified disorders of circulatory system(I83-I99),0,N/A,6357
Unknown,Total,All other and unspecified disorders of circulatory system(I83-I99),0,N/A,6360
Total,2020 **,All other and unspecified disorders of circulatory system(I83-I99),43,0.3,6363
Total,2021 **,All other and unspecified disorders of circulatory system(I83-I99),0,N/A,6366
Total,Total,All other and unspecified disorders of circulatory system(I83-I99),43,0.1,6369
Hispanic,2020 **,Acute pharyngitis and tonsillitis (J02-J03),0,N/A,6372
Hispanic,2021 **,Acute pharyngitis and tonsillitis (J02-J03),0,N/A,6375
Hispanic,Total,Acute pharyngitis and tonsillitis (J02-J03),0,N/A,6378
Non-Hispanic,2020 **,Acute pharyngitis and tonsillitis (J02-J03),2,N/A,6381
Non-Hispanic,2021 **,Acute pharyngitis and tonsillitis (J02-J03),0,N/A,6384
Non-Hispanic,Total,Acute pharyngitis and tonsillitis (J02-J03),2,N/A,6387
Unknown,2020 **,Acute pharyngitis and tonsillitis (J02-J03),0,N/A,6390
Unknown,2021 **,Acute pharyngitis and tonsillitis (J02-J03),0,N/A,6393
Unknown,Total,Acute pharyngitis and tonsillitis (J02-J03),0,N/A,6396
Total,2020 **,Acute pharyngitis and tonsillitis (J02-J03),2,N/A,6399
Total,2021 **,Acute pharyngitis and tonsillitis (J02-J03),0,N/A,6402
Total,Total,Acute pharyngitis and tonsillitis (J02-J03),2,N/A,6405
Hispanic,2020 **,Acute laryngitis and tracheitis(J04),0,N/A,6408
Hispanic,2021 **,Acute laryngitis and tracheitis(J04),0,N/A,6411
Hispanic,Total,Acute laryngitis and tracheitis(J04),0,N/A,6414
Non-Hispanic,2020 **,Acute laryngitis and tracheitis(J04),0,N/A,6417
Non-Hispanic,2021 **,Acute laryngitis and tracheitis(J04),0,N/A,6420
Non-Hispanic,Total,Acute laryngitis and tracheitis(J04),0,N/A,6423
Unknown,2020 **,Acute laryngitis and tracheitis(J04),0,N/A,6426
Unknown,2021 **,Acute laryngitis and tracheitis(J04),0,N/A,6429
Unknown,Total,Acute laryngitis and tracheitis(J04),0,N/A,6432
Total,2020 **,Acute laryngitis and tracheitis(J04),0,N/A,6435
Total,2021 **,Acute laryngitis and tracheitis(J04),0,N/A,6438
Total,Total,Acute laryngitis and tracheitis(J04),0,N/A,6441
Hispanic,2020 **,Other and unspecified acute upper respiratory infections (J00-J01J05-J06),0,N/A,6444
Hispanic,2021 **,Other and unspecified acute upper respiratory infections (J00-J01J05-J06),0,N/A,6447
Hispanic,Total,Other and unspecified acute upper respiratory infections (J00-J01J05-J06),0,N/A,6450
Non-Hispanic,2020 **,Other and unspecified acute upper respiratory infections (J00-J01J05-J06),2,N/A,6453
Non-Hispanic,2021 **,Other and unspecified acute upper respiratory infections (J00-J01J05-J06),0,N/A,6456
Non-Hispanic,Total,Other and unspecified acute upper respiratory infections (J00-J01J05-J06),2,N/A,6459
Unknown,2020 **,Other and unspecified acute upper respiratory infections (J00-J01J05-J06),0,N/A,6462
Unknown,2021 **,Other and unspecified acute upper respiratory infections (J00-J01J05-J06),0,N/A,6465
Unknown,Total,Other and unspecified acute upper respiratory infections (J00-J01J05-J06),0,N/A,6468
Total,2020 **,Other and unspecified acute upper respiratory infections (J00-J01J05-J06),2,N/A,6471
Total,2021 **,Other and unspecified acute upper respiratory infections (J00-J01J05-J06),0,N/A,6474
Total,Total,Other and unspecified acute upper respiratory infections (J00-J01J05-J06),2,N/A,6477
Hispanic,2020 **,Influenza(J09-J11),1,N/A,6480
Hispanic,2021 **,Influenza(J09-J11),0,N/A,6483
Hispanic,Total,Influenza(J09-J11),1,N/A,6486
Non-Hispanic,2020 **,Influenza(J09-J11),228,1.6,6489
Non-Hispanic,2021 **,Influenza(J09-J11),0,N/A,6492
Non-Hispanic,Total,Influenza(J09-J11),228,0.8,6495
Unknown,2020 **,Influenza(J09-J11),0,N/A,6498
Unknown,2021 **,Influenza(J09-J11),0,N/A,6501
Unknown,Total,Influenza(J09-J11),0,N/A,6504
Total,2020 **,Influenza(J09-J11),229,1.6,6507
Total,2021 **,Influenza(J09-J11),0,N/A,6510
Total,Total,Influenza(J09-J11),229,0.8,6513
Hispanic,2020 **,Viral pneumonia not elsewhere classified(J12),2,N/A,6516
Hispanic,2021 **,Viral pneumonia not elsewhere classified(J12),0,N/A,6519
Hispanic,Total,Viral pneumonia not elsewhere classified(J12),2,N/A,6522
Non-Hispanic,2020 **,Viral pneumonia not elsewhere classified(J12),42,0.3,6525
Non-Hispanic,2021 **,Viral pneumonia not elsewhere classified(J12),0,N/A,6528
Non-Hispanic,Total,Viral pneumonia not elsewhere classified(J12),42,0.1,6531
Unknown,2020 **,Viral pneumonia not elsewhere classified(J12),0,N/A,6534
Unknown,2021 **,Viral pneumonia not elsewhere classified(J12),0,N/A,6537
Unknown,Total,Viral pneumonia not elsewhere classified(J12),0,N/A,6540
Total,2020 **,Viral pneumonia not elsewhere classified(J12),44,0.3,6543
Total,2021 **,Viral pneumonia not elsewhere classified(J12),0,N/A,6546
Total,Total,Viral pneumonia not elsewhere classified(J12),44,0.2,6549
Hispanic,2020 **,Bacterial pneumonia(J13-J15),1,N/A,6552
Hispanic,2021 **,Bacterial pneumonia(J13-J15),0,N/A,6555
Hispanic,Total,Bacterial pneumonia(J13-J15),1,N/A,6558
Non-Hispanic,2020 **,Bacterial pneumonia(J13-J15),135,0.9,6561
Non-Hispanic,2021 **,Bacterial pneumonia(J13-J15),0,N/A,6564
Non-Hispanic,Total,Bacterial pneumonia(J13-J15),135,0.5,6567
Unknown,2020 **,Bacterial pneumonia(J13-J15),0,N/A,6570
Unknown,2021 **,Bacterial pneumonia(J13-J15),0,N/A,6573
Unknown,Total,Bacterial pneumonia(J13-J15),0,N/A,6576
Total,2020 **,Bacterial pneumonia(J13-J15),136,0.9,6579
Total,2021 **,Bacterial pneumonia(J13-J15),0,N/A,6582
Total,Total,Bacterial pneumonia(J13-J15),136,0.5,6585
Hispanic,2020 **,Pneumonia due to other or unspecified organisms(J16J18),12,5.1,6588
Hispanic,2021 **,Pneumonia due to other or unspecified organisms(J16J18),0,N/A,6591
Hispanic,Total,Pneumonia due to other or unspecified organisms(J16J18),12,2.5,6594
Non-Hispanic,2020 **,Pneumonia due to other or unspecified organisms(J16J18),1443,9.5,6597
Non-Hispanic,2021 **,Pneumonia due to other or unspecified organisms(J16J18),3,N/A,6600
Non-Hispanic,Total,Pneumonia due to other or unspecified organisms(J16J18),1446,4.8,6603
Unknown,2020 **,Pneumonia due to other or unspecified organisms(J16J18),1,N/A,6606
Unknown,2021 **,Pneumonia due to other or unspecified organisms(J16J18),0,N/A,6609
Unknown,Total,Pneumonia due to other or unspecified organisms(J16J18),1,N/A,6612
Total,2020 **,Pneumonia due to other or unspecified organisms(J16J18),1456,9.4,6615
Total,2021 **,Pneumonia due to other or unspecified organisms(J16J18),3,N/A,6618
Total,Total,Pneumonia due to other or unspecified organisms(J16J18),1459,4.7,6621
Hispanic,2020 **,Acute bronchitis and bronchiolitis (J20-J21),0,N/A,6624
Hispanic,2021 **,Acute bronchitis and bronchiolitis (J20-J21),0,N/A,6627
Hispanic,Total,Acute bronchitis and bronchiolitis (J20-J21),0,N/A,6630
Non-Hispanic,2020 **,Acute bronchitis and bronchiolitis (J20-J21),9,N/A,6633
Non-Hispanic,2021 **,Acute bronchitis and bronchiolitis (J20-J21),0,N/A,6636
Non-Hispanic,Total,Acute bronchitis and bronchiolitis (J20-J21),9,N/A,6639
Unknown,2020 **,Acute bronchitis and bronchiolitis (J20-J21),0,N/A,6642
Unknown,2021 **,Acute bronchitis and bronchiolitis (J20-J21),0,N/A,6645
Unknown,Total,Acute bronchitis and bronchiolitis (J20-J21),0,N/A,6648
Total,2020 **,Acute bronchitis and bronchiolitis (J20-J21),9,N/A,6651
Total,2021 **,Acute bronchitis and bronchiolitis (J20-J21),0,N/A,6654
Total,Total,Acute bronchitis and bronchiolitis (J20-J21),9,N/A,6657
Hispanic,2020 **,Unspecified acute lower respiratory infection(J22U049U071),152,60.0,6660
Hispanic,2021 **,Unspecified acute lower respiratory infection(J22U049U071),0,N/A,6663
Hispanic,Total,Unspecified acute lower respiratory infection(J22U049U071),152,30.0,6666
Non-Hispanic,2020 **,Unspecified acute lower respiratory infection(J22U049U071),8803,57.9,6669
Non-Hispanic,2021 **,Unspecified acute lower respiratory infection(J22U049U071),18,0.1,6672
Non-Hispanic,Total,Unspecified acute lower respiratory infection(J22U049U071),8821,29.0,6675
Unknown,2020 **,Unspecified acute lower respiratory infection(J22U049U071),1,N/A,6678
Unknown,2021 **,Unspecified acute lower respiratory infection(J22U049U071),0,N/A,6681
Unknown,Total,Unspecified acute lower respiratory infection(J22U049U071),1,N/A,6684
Total,2020 **,Unspecified acute lower respiratory infection(J22U049U071),8956,58.0,6687
Total,2021 **,Unspecified acute lower respiratory infection(J22U049U071),18,0.1,6690
Total,Total,Unspecified acute lower respiratory infection(J22U049U071),8974,29.1,6693
Hispanic,2020 **,Other diseases of upper respiratory tract (J30-J39),1,N/A,6696
Hispanic,2021 **,Other diseases of upper respiratory tract (J30-J39),0,N/A,6699
Hispanic,Total,Other diseases of upper respiratory tract (J30-J39),1,N/A,6702
Non-Hispanic,2020 **,Other diseases of upper respiratory tract (J30-J39),13,0.1,6705
Non-Hispanic,2021 **,Other diseases of upper respiratory tract (J30-J39),0,N/A,6708
Non-Hispanic,Total,Other diseases of upper respiratory tract (J30-J39),13,0.0,6711
Unknown,2020 **,Other diseases of upper respiratory tract (J30-J39),0,N/A,6714
Unknown,2021 **,Other diseases of upper respiratory tract (J30-J39),0,N/A,6717
Unknown,Total,Other diseases of upper respiratory tract (J30-J39),0,N/A,6720
Total,2020 **,Other diseases of upper respiratory tract (J30-J39),14,0.1,6723
Total,2021 **,Other diseases of upper respiratory tract (J30-J39),0,N/A,6726
Total,Total,Other diseases of upper respiratory tract (J30-J39),14,0.0,6729
Hispanic,2020 **,Bronchitis not specified as acute or chronic(J40),0,N/A,6732
Hispanic,2021 **,Bronchitis not specified as acute or chronic(J40),0,N/A,6735
Hispanic,Total,Bronchitis not specified as acute or chronic(J40),0,N/A,6738
Non-Hispanic,2020 **,Bronchitis not specified as acute or chronic(J40),11,0.1,6741
Non-Hispanic,2021 **,Bronchitis not specified as acute or chronic(J40),0,N/A,6744
Non-Hispanic,Total,Bronchitis not specified as acute or chronic(J40),11,0.0,6747
Unknown,2020 **,Bronchitis not specified as acute or chronic(J40),0,N/A,6750
Unknown,2021 **,Bronchitis not specified as acute or chronic(J40),0,N/A,6753
Unknown,Total,Bronchitis not specified as acute or chronic(J40),0,N/A,6756
Total,2020 **,Bronchitis not specified as acute or chronic(J40),11,0.1,6759
Total,2021 **,Bronchitis not specified as acute or chronic(J40),0,N/A,6762
Total,Total,Bronchitis not specified as acute or chronic(J40),11,0.0,6765
Hispanic,2020 **,Chronic bronchitis (J41-J42),0,N/A,6768
Hispanic,2021 **,Chronic bronchitis (J41-J42),0,N/A,6771
Hispanic,Total,Chronic bronchitis (J41-J42),0,N/A,6774
Non-Hispanic,2020 **,Chronic bronchitis (J41-J42),6,N/A,6777
Non-Hispanic,2021 **,Chronic bronchitis (J41-J42),0,N/A,6780
Non-Hispanic,Total,Chronic bronchitis (J41-J42),6,N/A,6783
Unknown,2020 **,Chronic bronchitis (J41-J42),0,N/A,6786
Unknown,2021 **,Chronic bronchitis (J41-J42),0,N/A,6789
Unknown,Total,Chronic bronchitis (J41-J42),0,N/A,6792
Total,2020 **,Chronic bronchitis (J41-J42),6,N/A,6795
Total,2021 **,Chronic bronchitis (J41-J42),0,N/A,6798
Total,Total,Chronic bronchitis (J41-J42),6,N/A,6801
Hispanic,2020 **,Emphysema(J43),0,N/A,6804
Hispanic,2021 **,Emphysema(J43),0,N/A,6807
Hispanic,Total,Emphysema(J43),0,N/A,6810
Non-Hispanic,2020 **,Emphysema(J43),368,2.3,6813
Non-Hispanic,2021 **,Emphysema(J43),0,N/A,6816
Non-Hispanic,Total,Emphysema(J43),368,1.2,6819
Unknown,2020 **,Emphysema(J43),0,N/A,6822
Unknown,2021 **,Emphysema(J43),0,N/A,6825
Unknown,Total,Emphysema(J43),0,N/A,6828
Total,2020 **,Emphysema(J43),368,2.3,6831
Total,2021 **,Emphysema(J43),0,N/A,6834
Total,Total,Emphysema(J43),368,1.2,6837
Hispanic,2020 **,Other chronic obstructive pulmonary disease(J44),35,14.9,6840
Hispanic,2021 **,Other chronic obstructive pulmonary disease(J44),0,N/A,6843
Hispanic,Total,Other chronic obstructive pulmonary disease(J44),35,7.5,6846
Non-Hispanic,2020 **,Other chronic obstructive pulmonary disease(J44),5876,38.0,6849
Non-Hispanic,2021 **,Other chronic obstructive pulmonary disease(J44),8,N/A,6852
Non-Hispanic,Total,Other chronic obstructive pulmonary disease(J44),5884,19.0,6855
Unknown,2020 **,Other chronic obstructive pulmonary disease(J44),0,N/A,6858
Unknown,2021 **,Other chronic obstructive pulmonary disease(J44),0,N/A,6861
Unknown,Total,Other chronic obstructive pulmonary disease(J44),0,N/A,6864
Total,2020 **,Other chronic obstructive pulmonary disease(J44),5911,37.7,6867
Total,2021 **,Other chronic obstructive pulmonary disease(J44),8,N/A,6870
Total,Total,Other chronic obstructive pulmonary disease(J44),5919,18.9,6873
Hispanic,2020 **,Asthma (J45-J46),2,N/A,6876
Hispanic,2021 **,Asthma (J45-J46),0,N/A,6879
Hispanic,Total,Asthma (J45-J46),2,N/A,6882
Non-Hispanic,2020 **,Asthma (J45-J46),120,1.0,6885
Non-Hispanic,2021 **,Asthma (J45-J46),0,N/A,6888
Non-Hispanic,Total,Asthma (J45-J46),120,0.5,6891
Unknown,2020 **,Asthma (J45-J46),0,N/A,6894
Unknown,2021 **,Asthma (J45-J46),0,N/A,6897
Unknown,Total,Asthma (J45-J46),0,N/A,6900
Total,2020 **,Asthma (J45-J46),122,0.9,6903
Total,2021 **,Asthma (J45-J46),0,N/A,6906
Total,Total,Asthma (J45-J46),122,0.5,6909
Hispanic,2020 **,Bronchiectasis (J47),0,N/A,6912
Hispanic,2021 **,Bronchiectasis (J47),0,N/A,6915
Hispanic,Total,Bronchiectasis (J47),0,N/A,6918
Non-Hispanic,2020 **,Bronchiectasis (J47),33,0.2,6921
Non-Hispanic,2021 **,Bronchiectasis (J47),0,N/A,6924
Non-Hispanic,Total,Bronchiectasis (J47),33,0.1,6927
Unknown,2020 **,Bronchiectasis (J47),0,N/A,6930
Unknown,2021 **,Bronchiectasis (J47),0,N/A,6933
Unknown,Total,Bronchiectasis (J47),0,N/A,6936
Total,2020 **,Bronchiectasis (J47),33,0.2,6939
Total,2021 **,Bronchiectasis (J47),0,N/A,6942
Total,Total,Bronchiectasis (J47),33,0.1,6945
Hispanic,2020 **,Pneumoconioses and chemical effects (J60-J66J68),1,N/A,6948
Hispanic,2021 **,Pneumoconioses and chemical effects (J60-J66J68),0,N/A,6951
Hispanic,Total,Pneumoconioses and chemical effects (J60-J66J68),1,N/A,6954
Non-Hispanic,2020 **,Pneumoconioses and chemical effects (J60-J66J68),20,0.1,6957
Non-Hispanic,2021 **,Pneumoconioses and chemical effects (J60-J66J68),0,N/A,6960
Non-Hispanic,Total,Pneumoconioses and chemical effects (J60-J66J68),20,0.1,6963
Unknown,2020 **,Pneumoconioses and chemical effects (J60-J66J68),0,N/A,6966
Unknown,2021 **,Pneumoconioses and chemical effects (J60-J66J68),0,N/A,6969
Unknown,Total,Pneumoconioses and chemical effects (J60-J66J68),0,N/A,6972
Total,2020 **,Pneumoconioses and chemical effects (J60-J66J68),21,0.1,6975
Total,2021 **,Pneumoconioses and chemical effects (J60-J66J68),0,N/A,6978
Total,Total,Pneumoconioses and chemical effects (J60-J66J68),21,0.1,6981
Hispanic,2020 **,Pneumonitis due to food and vomit (J69.0),5,N/A,6984
Hispanic,2021 **,Pneumonitis due to food and vomit (J69.0),0,N/A,6987
Hispanic,Total,Pneumonitis due to food and vomit (J69.0),5,N/A,6990
Non-Hispanic,2020 **,Pneumonitis due to food and vomit (J69.0),772,5.1,6993
Non-Hispanic,2021 **,Pneumonitis due to food and vomit (J69.0),2,N/A,6996
Non-Hispanic,Total,Pneumonitis due to food and vomit (J69.0),774,2.5,6999
Unknown,2020 **,Pneumonitis due to food and vomit (J69.0),0,N/A,7002
Unknown,2021 **,Pneumonitis due to food and vomit (J69.0),0,N/A,7005
Unknown,Total,Pneumonitis due to food and vomit (J69.0),0,N/A,7008
Total,2020 **,Pneumonitis due to food and vomit (J69.0),777,5.0,7011
Total,2021 **,Pneumonitis due to food and vomit (J69.0),2,N/A,7014
Total,Total,Pneumonitis due to food and vomit (J69.0),779,2.5,7017
Hispanic,2020 **,Other pneumonitis due to solids and liquids(J69.1-J69.8),0,N/A,7020
Hispanic,2021 **,Other pneumonitis due to solids and liquids(J69.1-J69.8),0,N/A,7023
Hispanic,Total,Other pneumonitis due to solids and liquids(J69.1-J69.8),0,N/A,7026
Non-Hispanic,2020 **,Other pneumonitis due to solids and liquids(J69.1-J69.8),0,N/A,7029
Non-Hispanic,2021 **,Other pneumonitis due to solids and liquids(J69.1-J69.8),0,N/A,7032
Non-Hispanic,Total,Other pneumonitis due to solids and liquids(J69.1-J69.8),0,N/A,7035
Unknown,2020 **,Other pneumonitis due to solids and liquids(J69.1-J69.8),0,N/A,7038
Unknown,2021 **,Other pneumonitis due to solids and liquids(J69.1-J69.8),0,N/A,7041
Unknown,Total,Other pneumonitis due to solids and liquids(J69.1-J69.8),0,N/A,7044
Total,2020 **,Other pneumonitis due to solids and liquids(J69.1-J69.8),0,N/A,7047
Total,2021 **,Other pneumonitis due to solids and liquids(J69.1-J69.8),0,N/A,7050
Total,Total,Other pneumonitis due to solids and liquids(J69.1-J69.8),0,N/A,7053
Hispanic,2020 **,Other lung diseases due to external agents(J67J70),1,N/A,7056
Hispanic,2021 **,Other lung diseases due to external agents(J67J70),0,N/A,7059
Hispanic,Total,Other lung diseases due to external agents(J67J70),1,N/A,7062
Non-Hispanic,2020 **,Other lung diseases due to external agents(J67J70),5,N/A,7065
Non-Hispanic,2021 **,Other lung diseases due to external agents(J67J70),0,N/A,7068
Non-Hispanic,Total,Other lung diseases due to external agents(J67J70),5,N/A,7071
Unknown,2020 **,Other lung diseases due to external agents(J67J70),0,N/A,7074
Unknown,2021 **,Other lung diseases due to external agents(J67J70),0,N/A,7077
Unknown,Total,Other lung diseases due to external agents(J67J70),0,N/A,7080
Total,2020 **,Other lung diseases due to external agents(J67J70),6,N/A,7083
Total,2021 **,Other lung diseases due to external agents(J67J70),0,N/A,7086
Total,Total,Other lung diseases due to external agents(J67J70),6,N/A,7089
Hispanic,2020 **,Suppurative and necrotic conditions of lower respiratory tract(J85-J86),0,N/A,7092
Hispanic,2021 **,Suppurative and necrotic conditions of lower respiratory tract(J85-J86),0,N/A,7095
Hispanic,Total,Suppurative and necrotic conditions of lower respiratory tract(J85-J86),0,N/A,7098
Non-Hispanic,2020 **,Suppurative and necrotic conditions of lower respiratory tract(J85-J86),28,0.2,7101
Non-Hispanic,2021 **,Suppurative and necrotic conditions of lower respiratory tract(J85-J86),0,N/A,7104
Non-Hispanic,Total,Suppurative and necrotic conditions of lower respiratory tract(J85-J86),28,0.1,7107
Unknown,2020 **,Suppurative and necrotic conditions of lower respiratory tract(J85-J86),0,N/A,7110
Unknown,2021 **,Suppurative and necrotic conditions of lower respiratory tract(J85-J86),0,N/A,7113
Unknown,Total,Suppurative and necrotic conditions of lower respiratory tract(J85-J86),0,N/A,7116
Total,2020 **,Suppurative and necrotic conditions of lower respiratory tract(J85-J86),28,0.2,7119
Total,2021 **,Suppurative and necrotic conditions of lower respiratory tract(J85-J86),0,N/A,7122
Total,Total,Suppurative and necrotic conditions of lower respiratory tract(J85-J86),28,0.1,7125
Hispanic,2020 **,Pleural effusion and plaque(J90J92),1,N/A,7128
Hispanic,2021 **,Pleural effusion and plaque(J90J92),0,N/A,7131
Hispanic,Total,Pleural effusion and plaque(J90J92),1,N/A,7134
Non-Hispanic,2020 **,Pleural effusion and plaque(J90J92),26,0.2,7137
Non-Hispanic,2021 **,Pleural effusion and plaque(J90J92),0,N/A,7140
Non-Hispanic,Total,Pleural effusion and plaque(J90J92),26,0.1,7143
Unknown,2020 **,Pleural effusion and plaque(J90J92),0,N/A,7146
Unknown,2021 **,Pleural effusion and plaque(J90J92),0,N/A,7149
Unknown,Total,Pleural effusion and plaque(J90J92),0,N/A,7152
Total,2020 **,Pleural effusion and plaque(J90J92),27,0.2,7155
Total,2021 **,Pleural effusion and plaque(J90J92),0,N/A,7158
Total,Total,Pleural effusion and plaque(J90J92),27,0.1,7161
Hispanic,2020 **,All other diseases of respiratory system (J80-J84J93-J98),28,11.0,7164
Hispanic,2021 **,All other diseases of respiratory system (J80-J84J93-J98),0,N/A,7167
Hispanic,Total,All other diseases of respiratory system (J80-J84J93-J98),28,5.5,7170
Non-Hispanic,2020 **,All other diseases of respiratory system (J80-J84J93-J98),1860,12.4,7173
Non-Hispanic,2021 **,All other diseases of respiratory system (J80-J84J93-J98),1,N/A,7176
Non-Hispanic,Total,All other diseases of respiratory system (J80-J84J93-J98),1861,6.2,7179
Unknown,2020 **,All other diseases of respiratory system (J80-J84J93-J98),0,N/A,7182
Unknown,2021 **,All other diseases of respiratory system (J80-J84J93-J98),0,N/A,7185
Unknown,Total,All other diseases of respiratory system (J80-J84J93-J98),0,N/A,7188
Total,2020 **,All other diseases of respiratory system (J80-J84J93-J98),1888,12.4,7191
Total,2021 **,All other diseases of respiratory system (J80-J84J93-J98),1,N/A,7194
Total,Total,All other diseases of respiratory system (J80-J84J93-J98),1889,6.2,7197
Hispanic,2020 **,Diseases of oral cavity salivary glands and jaws (K00-K14),0,N/A,7200
Hispanic,2021 **,Diseases of oral cavity salivary glands and jaws (K00-K14),0,N/A,7203
Hispanic,Total,Diseases of oral cavity salivary glands and jaws (K00-K14),0,N/A,7206
Non-Hispanic,2020 **,Diseases of oral cavity salivary glands and jaws (K00-K14),11,0.1,7209
Non-Hispanic,2021 **,Diseases of oral cavity salivary glands and jaws (K00-K14),0,N/A,7212
Non-Hispanic,Total,Diseases of oral cavity salivary glands and jaws (K00-K14),11,0.0,7215
Unknown,2020 **,Diseases of oral cavity salivary glands and jaws (K00-K14),0,N/A,7218
Unknown,2021 **,Diseases of oral cavity salivary glands and jaws (K00-K14),0,N/A,7221
Unknown,Total,Diseases of oral cavity salivary glands and jaws (K00-K14),0,N/A,7224
Total,2020 **,Diseases of oral cavity salivary glands and jaws (K00-K14),11,0.1,7227
Total,2021 **,Diseases of oral cavity salivary glands and jaws (K00-K14),0,N/A,7230
Total,Total,Diseases of oral cavity salivary glands and jaws (K00-K14),11,0.0,7233
Hispanic,2020 **,Diseases of esophagus(K20-K22),1,N/A,7236
Hispanic,2021 **,Diseases of esophagus(K20-K22),0,N/A,7239
Hispanic,Total,Diseases of esophagus(K20-K22),1,N/A,7242
Non-Hispanic,2020 **,Diseases of esophagus(K20-K22),95,0.6,7245
Non-Hispanic,2021 **,Diseases of esophagus(K20-K22),0,N/A,7248
Non-Hispanic,Total,Diseases of esophagus(K20-K22),95,0.3,7251
Unknown,2020 **,Diseases of esophagus(K20-K22),0,N/A,7254
Unknown,2021 **,Diseases of esophagus(K20-K22),0,N/A,7257
Unknown,Total,Diseases of esophagus(K20-K22),0,N/A,7260
