DeathEducationLevelEducationLevel,DeathCOD113ICDCode113Desc,Deaths,DeathAgeAdjustedRate11,SORT
ASSOCIATE DEGREE (E.G. AA AS),All other forms of heart disease (I26-I28I34-I38I42-I49I51),3897,1.8,1722
BACHELORS DEGREE (E.G. BA AB BS),All other forms of heart disease (I26-I28I34-I38I42-I49I51),6984,3.2,1725
MASTERS DEGREE (E.G. MA MS..),All other forms of heart disease (I26-I28I34-I38I42-I49I51),2492,1.2,1728
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,All other forms of heart disease (I26-I28I34-I38I42-I49I51),1161,0.5,1731
UNKNOWN,All other forms of heart disease (I26-I28I34-I38I42-I49I51),1689,0.8,1734
Total,All other forms of heart disease (I26-I28I34-I38I42-I49I51),82630,38.6,1737
8TH GRADE OR LESS,Essential (primary) hypertension and hypertensive renal disease (I10I12I15),1684,0.8,1740
9TH THRU 12TH GRADE; NO DIPLOMA,Essential (primary) hypertension and hypertensive renal disease (I10I12I15),2490,1.2,1743
HIGH SCHOOL GRADUATE OR GED,Essential (primary) hypertension and hypertensive renal disease (I10I12I15),9665,4.4,1746
COLLEGE BUT NO DEGREE,Essential (primary) hypertension and hypertensive renal disease (I10I12I15),1552,0.7,1749
ASSOCIATE DEGREE (E.G. AA AS),Essential (primary) hypertension and hypertensive renal disease (I10I12I15),823,0.4,1752
BACHELORS DEGREE (E.G. BA AB BS),Essential (primary) hypertension and hypertensive renal disease (I10I12I15),1353,0.6,1755
MASTERS DEGREE (E.G. MA MS..),Essential (primary) hypertension and hypertensive renal disease (I10I12I15),514,0.2,1758
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,Essential (primary) hypertension and hypertensive renal disease (I10I12I15),191,0.1,1761
UNKNOWN,Essential (primary) hypertension and hypertensive renal disease (I10I12I15),373,0.2,1764
Total,Essential (primary) hypertension and hypertensive renal disease (I10I12I15),18645,8.6,1767
8TH GRADE OR LESS,Cerebrovascular diseases (I60-I69),7473,3.5,1770
9TH THRU 12TH GRADE; NO DIPLOMA,Cerebrovascular diseases (I60-I69),10451,4.9,1773
HIGH SCHOOL GRADUATE OR GED,Cerebrovascular diseases (I60-I69),42275,19.6,1776
COLLEGE BUT NO DEGREE,Cerebrovascular diseases (I60-I69),7224,3.4,1779
ASSOCIATE DEGREE (E.G. AA AS),Cerebrovascular diseases (I60-I69),3761,1.7,1782
BACHELORS DEGREE (E.G. BA AB BS),Cerebrovascular diseases (I60-I69),7246,3.3,1785
MASTERS DEGREE (E.G. MA MS..),Cerebrovascular diseases (I60-I69),2614,1.2,1788
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,Cerebrovascular diseases (I60-I69),1119,0.5,1791
UNKNOWN,Cerebrovascular diseases (I60-I69),1724,0.8,1794
Total,Cerebrovascular diseases (I60-I69),83887,38.9,1797
8TH GRADE OR LESS,Atherosclerosis (I70),441,0.2,1800
9TH THRU 12TH GRADE; NO DIPLOMA,Atherosclerosis (I70),575,0.3,1803
HIGH SCHOOL GRADUATE OR GED,Atherosclerosis (I70),2069,0.9,1806
COLLEGE BUT NO DEGREE,Atherosclerosis (I70),335,0.2,1809
ASSOCIATE DEGREE (E.G. AA AS),Atherosclerosis (I70),146,0.1,1812
BACHELORS DEGREE (E.G. BA AB BS),Atherosclerosis (I70),259,0.1,1815
MASTERS DEGREE (E.G. MA MS..),Atherosclerosis (I70),81,0.0,1818
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,Atherosclerosis (I70),45,0.0,1821
UNKNOWN,Atherosclerosis (I70),82,0.0,1824
Total,Atherosclerosis (I70),4033,1.8,1827
8TH GRADE OR LESS,Aortic aneurysm and dissection (I71),425,0.2,1830
9TH THRU 12TH GRADE; NO DIPLOMA,Aortic aneurysm and dissection (I71),824,0.4,1833
HIGH SCHOOL GRADUATE OR GED,Aortic aneurysm and dissection (I71),3310,1.6,1836
COLLEGE BUT NO DEGREE,Aortic aneurysm and dissection (I71),662,0.3,1839
ASSOCIATE DEGREE (E.G. AA AS),Aortic aneurysm and dissection (I71),336,0.2,1842
BACHELORS DEGREE (E.G. BA AB BS),Aortic aneurysm and dissection (I71),607,0.3,1845
MASTERS DEGREE (E.G. MA MS..),Aortic aneurysm and dissection (I71),196,0.1,1848
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,Aortic aneurysm and dissection (I71),90,0.0,1851
UNKNOWN,Aortic aneurysm and dissection (I71),111,0.0,1854
Total,Aortic aneurysm and dissection (I71),6561,3.1,1857
8TH GRADE OR LESS,Other diseases of arteries arterioles and capillaries (I72-I78),545,0.3,1860
9TH THRU 12TH GRADE; NO DIPLOMA,Other diseases of arteries arterioles and capillaries (I72-I78),874,0.4,1863
HIGH SCHOOL GRADUATE OR GED,Other diseases of arteries arterioles and capillaries (I72-I78),3117,1.4,1866
COLLEGE BUT NO DEGREE,Other diseases of arteries arterioles and capillaries (I72-I78),519,0.2,1869
ASSOCIATE DEGREE (E.G. AA AS),Other diseases of arteries arterioles and capillaries (I72-I78),274,0.1,1872
BACHELORS DEGREE (E.G. BA AB BS),Other diseases of arteries arterioles and capillaries (I72-I78),392,0.2,1875
MASTERS DEGREE (E.G. MA MS..),Other diseases of arteries arterioles and capillaries (I72-I78),140,0.1,1878
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,Other diseases of arteries arterioles and capillaries (I72-I78),74,0.0,1881
UNKNOWN,Other diseases of arteries arterioles and capillaries (I72-I78),104,0.0,1884
Total,Other diseases of arteries arterioles and capillaries (I72-I78),6039,2.8,1887
8TH GRADE OR LESS,Other disorders of circulatory system (I80-I99),146,0.1,1890
9TH THRU 12TH GRADE; NO DIPLOMA,Other disorders of circulatory system (I80-I99),274,0.1,1893
HIGH SCHOOL GRADUATE OR GED,Other disorders of circulatory system (I80-I99),1198,0.6,1896
COLLEGE BUT NO DEGREE,Other disorders of circulatory system (I80-I99),270,0.1,1899
ASSOCIATE DEGREE (E.G. AA AS),Other disorders of circulatory system (I80-I99),151,0.1,1902
BACHELORS DEGREE (E.G. BA AB BS),Other disorders of circulatory system (I80-I99),260,0.1,1905
MASTERS DEGREE (E.G. MA MS..),Other disorders of circulatory system (I80-I99),86,0.0,1908
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,Other disorders of circulatory system (I80-I99),43,0.0,1911
UNKNOWN,Other disorders of circulatory system (I80-I99),62,0.0,1914
Total,Other disorders of circulatory system (I80-I99),2490,1.2,1917
8TH GRADE OR LESS,Influenza (J09-J11),169,0.1,1920
9TH THRU 12TH GRADE; NO DIPLOMA,Influenza (J09-J11),246,0.1,1923
HIGH SCHOOL GRADUATE OR GED,Influenza (J09-J11),1076,0.5,1926
COLLEGE BUT NO DEGREE,Influenza (J09-J11),186,0.1,1929
ASSOCIATE DEGREE (E.G. AA AS),Influenza (J09-J11),121,0.1,1932
BACHELORS DEGREE (E.G. BA AB BS),Influenza (J09-J11),161,0.1,1935
MASTERS DEGREE (E.G. MA MS..),Influenza (J09-J11),73,0.0,1938
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,Influenza (J09-J11),27,0.0,1941
UNKNOWN,Influenza (J09-J11),70,0.0,1944
Total,Influenza (J09-J11),2129,1.0,1947
8TH GRADE OR LESS,Pneumonia (J12-J18),2813,1.3,1950
9TH THRU 12TH GRADE; NO DIPLOMA,Pneumonia (J12-J18),3874,1.8,1953
HIGH SCHOOL GRADUATE OR GED,Pneumonia (J12-J18),13796,6.4,1956
COLLEGE BUT NO DEGREE,Pneumonia (J12-J18),2291,1.1,1959
ASSOCIATE DEGREE (E.G. AA AS),Pneumonia (J12-J18),1177,0.5,1962
BACHELORS DEGREE (E.G. BA AB BS),Pneumonia (J12-J18),2279,1.0,1965
MASTERS DEGREE (E.G. MA MS..),Pneumonia (J12-J18),679,0.3,1968
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,Pneumonia (J12-J18),349,0.2,1971
UNKNOWN,Pneumonia (J12-J18),933,0.4,1974
Total,Pneumonia (J12-J18),28191,13.1,1977
8TH GRADE OR LESS,Acute bronchitis and bronchiolitis (J20-J21),34,0.0,1980
9TH THRU 12TH GRADE; NO DIPLOMA,Acute bronchitis and bronchiolitis (J20-J21),17,0.0,1983
HIGH SCHOOL GRADUATE OR GED,Acute bronchitis and bronchiolitis (J20-J21),63,0.0,1986
COLLEGE BUT NO DEGREE,Acute bronchitis and bronchiolitis (J20-J21),11,0.0,1989
ASSOCIATE DEGREE (E.G. AA AS),Acute bronchitis and bronchiolitis (J20-J21),11,0.0,1992
BACHELORS DEGREE (E.G. BA AB BS),Acute bronchitis and bronchiolitis (J20-J21),10,0.0,1995
MASTERS DEGREE (E.G. MA MS..),Acute bronchitis and bronchiolitis (J20-J21),4,N/A,1998
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,Acute bronchitis and bronchiolitis (J20-J21),4,N/A,2001
UNKNOWN,Acute bronchitis and bronchiolitis (J20-J21),14,0.0,2004
Total,Acute bronchitis and bronchiolitis (J20-J21),168,0.1,2007
8TH GRADE OR LESS,Unspecified acute lower respiratory infection (J22U049U071),779,0.4,2010
9TH THRU 12TH GRADE; NO DIPLOMA,Unspecified acute lower respiratory infection (J22U049U071),1212,0.6,2013
HIGH SCHOOL GRADUATE OR GED,Unspecified acute lower respiratory infection (J22U049U071),5812,2.7,2016
COLLEGE BUT NO DEGREE,Unspecified acute lower respiratory infection (J22U049U071),955,0.4,2019
ASSOCIATE DEGREE (E.G. AA AS),Unspecified acute lower respiratory infection (J22U049U071),571,0.3,2022
BACHELORS DEGREE (E.G. BA AB BS),Unspecified acute lower respiratory infection (J22U049U071),1004,0.5,2025
MASTERS DEGREE (E.G. MA MS..),Unspecified acute lower respiratory infection (J22U049U071),412,0.2,2028
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,Unspecified acute lower respiratory infection (J22U049U071),143,0.1,2031
UNKNOWN,Unspecified acute lower respiratory infection (J22U049U071),255,0.1,2034
Total,Unspecified acute lower respiratory infection (J22U049U071),11143,5.2,2037
8TH GRADE OR LESS,Bronchitis chronic and unspecified (J40-J42),64,0.0,2040
9TH THRU 12TH GRADE; NO DIPLOMA,Bronchitis chronic and unspecified (J40-J42),61,0.0,2043
HIGH SCHOOL GRADUATE OR GED,Bronchitis chronic and unspecified (J40-J42),219,0.1,2046
COLLEGE BUT NO DEGREE,Bronchitis chronic and unspecified (J40-J42),39,0.0,2049
ASSOCIATE DEGREE (E.G. AA AS),Bronchitis chronic and unspecified (J40-J42),11,0.0,2052
BACHELORS DEGREE (E.G. BA AB BS),Bronchitis chronic and unspecified (J40-J42),32,0.0,2055
MASTERS DEGREE (E.G. MA MS..),Bronchitis chronic and unspecified (J40-J42),6,N/A,2058
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,Bronchitis chronic and unspecified (J40-J42),8,N/A,2061
UNKNOWN,Bronchitis chronic and unspecified (J40-J42),21,0.0,2064
Total,Bronchitis chronic and unspecified (J40-J42),461,0.2,2067
8TH GRADE OR LESS,Emphysema (J43),654,0.3,2070
9TH THRU 12TH GRADE; NO DIPLOMA,Emphysema (J43),1238,0.6,2073
HIGH SCHOOL GRADUATE OR GED,Emphysema (J43),3441,1.6,2076
COLLEGE BUT NO DEGREE,Emphysema (J43),544,0.3,2079
ASSOCIATE DEGREE (E.G. AA AS),Emphysema (J43),269,0.1,2082
BACHELORS DEGREE (E.G. BA AB BS),Emphysema (J43),356,0.2,2085
MASTERS DEGREE (E.G. MA MS..),Emphysema (J43),79,0.0,2088
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,Emphysema (J43),31,0.0,2091
UNKNOWN,Emphysema (J43),133,0.1,2094
Total,Emphysema (J43),6745,3.1,2097
8TH GRADE OR LESS,Asthma (J45-J46),199,0.1,2100
9TH THRU 12TH GRADE; NO DIPLOMA,Asthma (J45-J46),242,0.1,2103
HIGH SCHOOL GRADUATE OR GED,Asthma (J45-J46),888,0.5,2106
COLLEGE BUT NO DEGREE,Asthma (J45-J46),179,0.1,2109
ASSOCIATE DEGREE (E.G. AA AS),Asthma (J45-J46),121,0.1,2112
BACHELORS DEGREE (E.G. BA AB BS),Asthma (J45-J46),128,0.1,2115
MASTERS DEGREE (E.G. MA MS..),Asthma (J45-J46),48,0.0,2118
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,Asthma (J45-J46),13,0.0,2121
UNKNOWN,Asthma (J45-J46),45,0.0,2124
Total,Asthma (J45-J46),1863,1.0,2127
8TH GRADE OR LESS,Other chronic lower respiratory diseases (J44J47),9228,4.3,2130
9TH THRU 12TH GRADE; NO DIPLOMA,Other chronic lower respiratory diseases (J44J47),16288,7.6,2133
HIGH SCHOOL GRADUATE OR GED,Other chronic lower respiratory diseases (J44J47),44980,20.9,2136
COLLEGE BUT NO DEGREE,Other chronic lower respiratory diseases (J44J47),6619,3.1,2139
ASSOCIATE DEGREE (E.G. AA AS),Other chronic lower respiratory diseases (J44J47),3272,1.5,2142
BACHELORS DEGREE (E.G. BA AB BS),Other chronic lower respiratory diseases (J44J47),4583,2.1,2145
MASTERS DEGREE (E.G. MA MS..),Other chronic lower respiratory diseases (J44J47),1201,0.6,2148
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,Other chronic lower respiratory diseases (J44J47),505,0.2,2151
UNKNOWN,Other chronic lower respiratory diseases (J44J47),1806,0.8,2154
Total,Other chronic lower respiratory diseases (J44J47),88482,41.1,2157
8TH GRADE OR LESS,Pneumoconioses and chemical effects (J60-J66J68),77,0.0,2160
9TH THRU 12TH GRADE; NO DIPLOMA,Pneumoconioses and chemical effects (J60-J66J68),71,0.0,2163
HIGH SCHOOL GRADUATE OR GED,Pneumoconioses and chemical effects (J60-J66J68),216,0.1,2166
COLLEGE BUT NO DEGREE,Pneumoconioses and chemical effects (J60-J66J68),25,0.0,2169
ASSOCIATE DEGREE (E.G. AA AS),Pneumoconioses and chemical effects (J60-J66J68),10,0.0,2172
BACHELORS DEGREE (E.G. BA AB BS),Pneumoconioses and chemical effects (J60-J66J68),12,0.0,2175
MASTERS DEGREE (E.G. MA MS..),Pneumoconioses and chemical effects (J60-J66J68),2,N/A,2178
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,Pneumoconioses and chemical effects (J60-J66J68),1,N/A,2181
UNKNOWN,Pneumoconioses and chemical effects (J60-J66J68),13,0.0,2184
Total,Pneumoconioses and chemical effects (J60-J66J68),427,0.2,2187
8TH GRADE OR LESS,Pneumonitis due to solids and liquids (J69),1272,0.6,2190
9TH THRU 12TH GRADE; NO DIPLOMA,Pneumonitis due to solids and liquids (J69),1518,0.7,2193
HIGH SCHOOL GRADUATE OR GED,Pneumonitis due to solids and liquids (J69),5589,2.6,2196
COLLEGE BUT NO DEGREE,Pneumonitis due to solids and liquids (J69),982,0.4,2199
ASSOCIATE DEGREE (E.G. AA AS),Pneumonitis due to solids and liquids (J69),453,0.2,2202
BACHELORS DEGREE (E.G. BA AB BS),Pneumonitis due to solids and liquids (J69),1070,0.5,2205
MASTERS DEGREE (E.G. MA MS..),Pneumonitis due to solids and liquids (J69),406,0.2,2208
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,Pneumonitis due to solids and liquids (J69),193,0.1,2211
UNKNOWN,Pneumonitis due to solids and liquids (J69),496,0.2,2214
Total,Pneumonitis due to solids and liquids (J69),11979,5.5,2217
8TH GRADE OR LESS,Other diseases of respiratory system (J00-J06J30-J39J67J70-J98),1885,0.9,2220
9TH THRU 12TH GRADE; NO DIPLOMA,Other diseases of respiratory system (J00-J06J30-J39J67J70-J98),2846,1.3,2223
HIGH SCHOOL GRADUATE OR GED,Other diseases of respiratory system (J00-J06J30-J39J67J70-J98),11402,5.3,2226
COLLEGE BUT NO DEGREE,Other diseases of respiratory system (J00-J06J30-J39J67J70-J98),2142,1.0,2229
ASSOCIATE DEGREE (E.G. AA AS),Other diseases of respiratory system (J00-J06J30-J39J67J70-J98),1161,0.5,2232
BACHELORS DEGREE (E.G. BA AB BS),Other diseases of respiratory system (J00-J06J30-J39J67J70-J98),1959,0.9,2235
MASTERS DEGREE (E.G. MA MS..),Other diseases of respiratory system (J00-J06J30-J39J67J70-J98),759,0.4,2238
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,Other diseases of respiratory system (J00-J06J30-J39J67J70-J98),336,0.2,2241
UNKNOWN,Other diseases of respiratory system (J00-J06J30-J39J67J70-J98),528,0.2,2244
Total,Other diseases of respiratory system (J00-J06J30-J39J67J70-J98),23018,10.8,2247
8TH GRADE OR LESS,Peptic ulcer (K25-K28),133,0.1,2250
9TH THRU 12TH GRADE; NO DIPLOMA,Peptic ulcer (K25-K28),255,0.1,2253
HIGH SCHOOL GRADUATE OR GED,Peptic ulcer (K25-K28),958,0.5,2256
COLLEGE BUT NO DEGREE,Peptic ulcer (K25-K28),184,0.1,2259
ASSOCIATE DEGREE (E.G. AA AS),Peptic ulcer (K25-K28),92,0.0,2262
BACHELORS DEGREE (E.G. BA AB BS),Peptic ulcer (K25-K28),157,0.1,2265
MASTERS DEGREE (E.G. MA MS..),Peptic ulcer (K25-K28),51,0.0,2268
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,Peptic ulcer (K25-K28),20,0.0,2271
UNKNOWN,Peptic ulcer (K25-K28),62,0.0,2274
Total,Peptic ulcer (K25-K28),1912,0.9,2277
8TH GRADE OR LESS,Diseases of appendix (K35-K38),16,0.0,2280
9TH THRU 12TH GRADE; NO DIPLOMA,Diseases of appendix (K35-K38),25,0.0,2283
HIGH SCHOOL GRADUATE OR GED,Diseases of appendix (K35-K38),103,0.0,2286
COLLEGE BUT NO DEGREE,Diseases of appendix (K35-K38),18,0.0,2289
ASSOCIATE DEGREE (E.G. AA AS),Diseases of appendix (K35-K38),3,N/A,2292
BACHELORS DEGREE (E.G. BA AB BS),Diseases of appendix (K35-K38),15,0.0,2295
MASTERS DEGREE (E.G. MA MS..),Diseases of appendix (K35-K38),12,0.0,2298
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,Diseases of appendix (K35-K38),3,N/A,2301
UNKNOWN,Diseases of appendix (K35-K38),3,N/A,2304
Total,Diseases of appendix (K35-K38),198,0.1,2307
8TH GRADE OR LESS,Hernia (K40-K46),98,0.0,2310
9TH THRU 12TH GRADE; NO DIPLOMA,Hernia (K40-K46),122,0.1,2313
HIGH SCHOOL GRADUATE OR GED,Hernia (K40-K46),562,0.3,2316
COLLEGE BUT NO DEGREE,Hernia (K40-K46),98,0.0,2319
ASSOCIATE DEGREE (E.G. AA AS),Hernia (K40-K46),48,0.0,2322
BACHELORS DEGREE (E.G. BA AB BS),Hernia (K40-K46),93,0.0,2325
MASTERS DEGREE (E.G. MA MS..),Hernia (K40-K46),37,0.0,2328
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,Hernia (K40-K46),12,0.0,2331
UNKNOWN,Hernia (K40-K46),31,0.0,2334
Total,Hernia (K40-K46),1101,0.5,2337
8TH GRADE OR LESS,Alcoholic liver disease (K70),275,0.1,2340
9TH THRU 12TH GRADE; NO DIPLOMA,Alcoholic liver disease (K70),1246,0.6,2343
HIGH SCHOOL GRADUATE OR GED,Alcoholic liver disease (K70),4612,2.3,2346
COLLEGE BUT NO DEGREE,Alcoholic liver disease (K70),1060,0.5,2349
ASSOCIATE DEGREE (E.G. AA AS),Alcoholic liver disease (K70),486,0.2,2352
BACHELORS DEGREE (E.G. BA AB BS),Alcoholic liver disease (K70),695,0.3,2355
MASTERS DEGREE (E.G. MA MS..),Alcoholic liver disease (K70),182,0.1,2358
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,Alcoholic liver disease (K70),74,0.0,2361
UNKNOWN,Alcoholic liver disease (K70),165,0.1,2364
Total,Alcoholic liver disease (K70),8795,4.4,2367
8TH GRADE OR LESS,Other chronic liver disease and cirrhosis (K73-K74),564,0.3,2370
9TH THRU 12TH GRADE; NO DIPLOMA,Other chronic liver disease and cirrhosis (K73-K74),1520,0.7,2373
HIGH SCHOOL GRADUATE OR GED,Other chronic liver disease and cirrhosis (K73-K74),5773,2.7,2376
COLLEGE BUT NO DEGREE,Other chronic liver disease and cirrhosis (K73-K74),1135,0.5,2379
ASSOCIATE DEGREE (E.G. AA AS),Other chronic liver disease and cirrhosis (K73-K74),598,0.3,2382
BACHELORS DEGREE (E.G. BA AB BS),Other chronic liver disease and cirrhosis (K73-K74),801,0.4,2385
MASTERS DEGREE (E.G. MA MS..),Other chronic liver disease and cirrhosis (K73-K74),278,0.1,2388
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,Other chronic liver disease and cirrhosis (K73-K74),92,0.0,2391
UNKNOWN,Other chronic liver disease and cirrhosis (K73-K74),196,0.1,2394
Total,Other chronic liver disease and cirrhosis (K73-K74),10957,5.2,2397
8TH GRADE OR LESS,Cholelithiasis and other disorders of gallbladder (K80-K82),173,0.1,2400
9TH THRU 12TH GRADE; NO DIPLOMA,Cholelithiasis and other disorders of gallbladder (K80-K82),277,0.1,2403
HIGH SCHOOL GRADUATE OR GED,Cholelithiasis and other disorders of gallbladder (K80-K82),977,0.5,2406
COLLEGE BUT NO DEGREE,Cholelithiasis and other disorders of gallbladder (K80-K82),157,0.1,2409
ASSOCIATE DEGREE (E.G. AA AS),Cholelithiasis and other disorders of gallbladder (K80-K82),92,0.0,2412
BACHELORS DEGREE (E.G. BA AB BS),Cholelithiasis and other disorders of gallbladder (K80-K82),162,0.1,2415
MASTERS DEGREE (E.G. MA MS..),Cholelithiasis and other disorders of gallbladder (K80-K82),53,0.0,2418
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,Cholelithiasis and other disorders of gallbladder (K80-K82),16,0.0,2421
UNKNOWN,Cholelithiasis and other disorders of gallbladder (K80-K82),58,0.0,2424
Total,Cholelithiasis and other disorders of gallbladder (K80-K82),1965,0.9,2427
8TH GRADE OR LESS,Acute and rapidly progressive nephritic and nephrotic syndrome (N00-N01N04),28,0.0,2430
9TH THRU 12TH GRADE; NO DIPLOMA,Acute and rapidly progressive nephritic and nephrotic syndrome (N00-N01N04),23,0.0,2433
HIGH SCHOOL GRADUATE OR GED,Acute and rapidly progressive nephritic and nephrotic syndrome (N00-N01N04),131,0.1,2436
COLLEGE BUT NO DEGREE,Acute and rapidly progressive nephritic and nephrotic syndrome (N00-N01N04),24,0.0,2439
ASSOCIATE DEGREE (E.G. AA AS),Acute and rapidly progressive nephritic and nephrotic syndrome (N00-N01N04),8,N/A,2442
BACHELORS DEGREE (E.G. BA AB BS),Acute and rapidly progressive nephritic and nephrotic syndrome (N00-N01N04),11,0.0,2445
MASTERS DEGREE (E.G. MA MS..),Acute and rapidly progressive nephritic and nephrotic syndrome (N00-N01N04),9,N/A,2448
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,Acute and rapidly progressive nephritic and nephrotic syndrome (N00-N01N04),3,N/A,2451
UNKNOWN,Acute and rapidly progressive nephritic and nephrotic syndrome (N00-N01N04),4,N/A,2454
Total,Acute and rapidly progressive nephritic and nephrotic syndrome (N00-N01N04),241,0.1,2457
8TH GRADE OR LESS,Chronic glomerulonephritis nephritis and nephritis not specified as acute or chronicand renal sclerosis unspecified (N02-N03N05-N07N26),112,0.1,2460
9TH THRU 12TH GRADE; NO DIPLOMA,Chronic glomerulonephritis nephritis and nephritis not specified as acute or chronicand renal sclerosis unspecified (N02-N03N05-N07N26),153,0.1,2463
HIGH SCHOOL GRADUATE OR GED,Chronic glomerulonephritis nephritis and nephritis not specified as acute or chronicand renal sclerosis unspecified (N02-N03N05-N07N26),457,0.2,2466
COLLEGE BUT NO DEGREE,Chronic glomerulonephritis nephritis and nephritis not specified as acute or chronicand renal sclerosis unspecified (N02-N03N05-N07N26),76,0.0,2469
ASSOCIATE DEGREE (E.G. AA AS),Chronic glomerulonephritis nephritis and nephritis not specified as acute or chronicand renal sclerosis unspecified (N02-N03N05-N07N26),24,0.0,2472
BACHELORS DEGREE (E.G. BA AB BS),Chronic glomerulonephritis nephritis and nephritis not specified as acute or chronicand renal sclerosis unspecified (N02-N03N05-N07N26),72,0.0,2475
MASTERS DEGREE (E.G. MA MS..),Chronic glomerulonephritis nephritis and nephritis not specified as acute or chronicand renal sclerosis unspecified (N02-N03N05-N07N26),19,0.0,2478
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,Chronic glomerulonephritis nephritis and nephritis not specified as acute or chronicand renal sclerosis unspecified (N02-N03N05-N07N26),6,N/A,2481
UNKNOWN,Chronic glomerulonephritis nephritis and nephritis not specified as acute or chronicand renal sclerosis unspecified (N02-N03N05-N07N26),15,0.0,2484
Total,Chronic glomerulonephritis nephritis and nephritis not specified as acute or chronicand renal sclerosis unspecified (N02-N03N05-N07N26),934,0.4,2487
8TH GRADE OR LESS,Renal failure (N17-N19),2448,1.1,2490
9TH THRU 12TH GRADE; NO DIPLOMA,Renal failure (N17-N19),3774,1.8,2493
HIGH SCHOOL GRADUATE OR GED,Renal failure (N17-N19),13993,6.5,2496
COLLEGE BUT NO DEGREE,Renal failure (N17-N19),2376,1.1,2499
ASSOCIATE DEGREE (E.G. AA AS),Renal failure (N17-N19),1270,0.6,2502
BACHELORS DEGREE (E.G. BA AB BS),Renal failure (N17-N19),2002,0.9,2505
MASTERS DEGREE (E.G. MA MS..),Renal failure (N17-N19),678,0.3,2508
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,Renal failure (N17-N19),310,0.1,2511
UNKNOWN,Renal failure (N17-N19),599,0.3,2514
Total,Renal failure (N17-N19),27450,12.8,2517
8TH GRADE OR LESS,Other disorders of kidney (N25N27),0,N/A,2520
9TH THRU 12TH GRADE; NO DIPLOMA,Other disorders of kidney (N25N27),2,N/A,2523
HIGH SCHOOL GRADUATE OR GED,Other disorders of kidney (N25N27),7,N/A,2526
COLLEGE BUT NO DEGREE,Other disorders of kidney (N25N27),0,N/A,2529
ASSOCIATE DEGREE (E.G. AA AS),Other disorders of kidney (N25N27),0,N/A,2532
BACHELORS DEGREE (E.G. BA AB BS),Other disorders of kidney (N25N27),3,N/A,2535
MASTERS DEGREE (E.G. MA MS..),Other disorders of kidney (N25N27),0,N/A,2538
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,Other disorders of kidney (N25N27),0,N/A,2541
UNKNOWN,Other disorders of kidney (N25N27),2,N/A,2544
Total,Other disorders of kidney (N25N27),14,0.0,2547
8TH GRADE OR LESS,Infections of kidney (N10-N12N13.6N15.1),27,0.0,2550
9TH THRU 12TH GRADE; NO DIPLOMA,Infections of kidney (N10-N12N13.6N15.1),41,0.0,2553
HIGH SCHOOL GRADUATE OR GED,Infections of kidney (N10-N12N13.6N15.1),178,0.1,2556
COLLEGE BUT NO DEGREE,Infections of kidney (N10-N12N13.6N15.1),40,0.0,2559
ASSOCIATE DEGREE (E.G. AA AS),Infections of kidney (N10-N12N13.6N15.1),18,0.0,2562
BACHELORS DEGREE (E.G. BA AB BS),Infections of kidney (N10-N12N13.6N15.1),41,0.0,2565
MASTERS DEGREE (E.G. MA MS..),Infections of kidney (N10-N12N13.6N15.1),15,0.0,2568
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,Infections of kidney (N10-N12N13.6N15.1),4,N/A,2571
UNKNOWN,Infections of kidney (N10-N12N13.6N15.1),9,N/A,2574
Total,Infections of kidney (N10-N12N13.6N15.1),373,0.2,2577
8TH GRADE OR LESS,Hyperplasia of prostate (N40),33,0.0,2580
9TH THRU 12TH GRADE; NO DIPLOMA,Hyperplasia of prostate (N40),47,0.0,2583
HIGH SCHOOL GRADUATE OR GED,Hyperplasia of prostate (N40),150,0.1,2586
COLLEGE BUT NO DEGREE,Hyperplasia of prostate (N40),28,0.0,2589
ASSOCIATE DEGREE (E.G. AA AS),Hyperplasia of prostate (N40),5,N/A,2592
