DeathEducationLevelEducationLevel,DeathYearYear,DeathCOD113ICDCode113Desc,Deaths,DeathAgeAdjustedRate11,SORT
9TH THRU 12TH GRADE; NO DIPLOMA,2020 **,Asthma (J45-J46),14,0.1,6309
9TH THRU 12TH GRADE; NO DIPLOMA,2021 **,Asthma (J45-J46),0,N/A,6312
9TH THRU 12TH GRADE; NO DIPLOMA,Total,Asthma (J45-J46),14,0.1,6315
HIGH SCHOOL GRADUATE OR GED,2020 **,Asthma (J45-J46),58,0.4,6318
HIGH SCHOOL GRADUATE OR GED,2021 **,Asthma (J45-J46),0,N/A,6321
HIGH SCHOOL GRADUATE OR GED,Total,Asthma (J45-J46),58,0.2,6324
COLLEGE BUT NO DEGREE,2020 **,Asthma (J45-J46),17,0.1,6327
COLLEGE BUT NO DEGREE,2021 **,Asthma (J45-J46),0,N/A,6330
COLLEGE BUT NO DEGREE,Total,Asthma (J45-J46),17,0.1,6333
ASSOCIATE DEGREE (E.G. AA AS),2020 **,Asthma (J45-J46),6,N/A,6336
ASSOCIATE DEGREE (E.G. AA AS),2021 **,Asthma (J45-J46),0,N/A,6339
ASSOCIATE DEGREE (E.G. AA AS),Total,Asthma (J45-J46),6,N/A,6342
BACHELORS DEGREE (E.G. BA AB BS),2020 **,Asthma (J45-J46),7,N/A,6345
BACHELORS DEGREE (E.G. BA AB BS),2021 **,Asthma (J45-J46),0,N/A,6348
BACHELORS DEGREE (E.G. BA AB BS),Total,Asthma (J45-J46),7,N/A,6351
MASTERS DEGREE (E.G. MA MS..),2020 **,Asthma (J45-J46),7,N/A,6354
MASTERS DEGREE (E.G. MA MS..),2021 **,Asthma (J45-J46),0,N/A,6357
MASTERS DEGREE (E.G. MA MS..),Total,Asthma (J45-J46),7,N/A,6360
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,2020 **,Asthma (J45-J46),1,N/A,6363
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,2021 **,Asthma (J45-J46),0,N/A,6366
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,Total,Asthma (J45-J46),1,N/A,6369
UNKNOWN,2020 **,Asthma (J45-J46),3,N/A,6372
UNKNOWN,2021 **,Asthma (J45-J46),0,N/A,6375
UNKNOWN,Total,Asthma (J45-J46),3,N/A,6378
Total,2020 **,Asthma (J45-J46),122,0.9,6381
Total,2021 **,Asthma (J45-J46),0,N/A,6384
Total,Total,Asthma (J45-J46),122,0.5,6387
8TH GRADE OR LESS,2020 **,Other chronic lower respiratory diseases (J44J47),383,2.5,6390
8TH GRADE OR LESS,2021 **,Other chronic lower respiratory diseases (J44J47),0,N/A,6393
8TH GRADE OR LESS,Total,Other chronic lower respiratory diseases (J44J47),383,1.2,6396
9TH THRU 12TH GRADE; NO DIPLOMA,2020 **,Other chronic lower respiratory diseases (J44J47),1028,6.5,6399
9TH THRU 12TH GRADE; NO DIPLOMA,2021 **,Other chronic lower respiratory diseases (J44J47),0,N/A,6402
9TH THRU 12TH GRADE; NO DIPLOMA,Total,Other chronic lower respiratory diseases (J44J47),1028,3.3,6405
HIGH SCHOOL GRADUATE OR GED,2020 **,Other chronic lower respiratory diseases (J44J47),3201,20.4,6408
HIGH SCHOOL GRADUATE OR GED,2021 **,Other chronic lower respiratory diseases (J44J47),6,N/A,6411
HIGH SCHOOL GRADUATE OR GED,Total,Other chronic lower respiratory diseases (J44J47),3207,10.2,6414
COLLEGE BUT NO DEGREE,2020 **,Other chronic lower respiratory diseases (J44J47),501,3.2,6417
COLLEGE BUT NO DEGREE,2021 **,Other chronic lower respiratory diseases (J44J47),0,N/A,6420
COLLEGE BUT NO DEGREE,Total,Other chronic lower respiratory diseases (J44J47),501,1.6,6423
ASSOCIATE DEGREE (E.G. AA AS),2020 **,Other chronic lower respiratory diseases (J44J47),274,1.7,6426
ASSOCIATE DEGREE (E.G. AA AS),2021 **,Other chronic lower respiratory diseases (J44J47),2,N/A,6429
ASSOCIATE DEGREE (E.G. AA AS),Total,Other chronic lower respiratory diseases (J44J47),276,0.9,6432
BACHELORS DEGREE (E.G. BA AB BS),2020 **,Other chronic lower respiratory diseases (J44J47),310,2.0,6435
BACHELORS DEGREE (E.G. BA AB BS),2021 **,Other chronic lower respiratory diseases (J44J47),0,N/A,6438
BACHELORS DEGREE (E.G. BA AB BS),Total,Other chronic lower respiratory diseases (J44J47),310,1.0,6441
MASTERS DEGREE (E.G. MA MS..),2020 **,Other chronic lower respiratory diseases (J44J47),105,0.7,6444
MASTERS DEGREE (E.G. MA MS..),2021 **,Other chronic lower respiratory diseases (J44J47),0,N/A,6447
MASTERS DEGREE (E.G. MA MS..),Total,Other chronic lower respiratory diseases (J44J47),105,0.3,6450
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,2020 **,Other chronic lower respiratory diseases (J44J47),39,0.3,6453
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,2021 **,Other chronic lower respiratory diseases (J44J47),0,N/A,6456
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,Total,Other chronic lower respiratory diseases (J44J47),39,0.1,6459
UNKNOWN,2020 **,Other chronic lower respiratory diseases (J44J47),103,0.6,6462
UNKNOWN,2021 **,Other chronic lower respiratory diseases (J44J47),0,N/A,6465
UNKNOWN,Total,Other chronic lower respiratory diseases (J44J47),103,0.3,6468
Total,2020 **,Other chronic lower respiratory diseases (J44J47),5944,37.9,6471
Total,2021 **,Other chronic lower respiratory diseases (J44J47),8,N/A,6474
Total,Total,Other chronic lower respiratory diseases (J44J47),5952,19.0,6477
8TH GRADE OR LESS,2020 **,Pneumoconioses and chemical effects (J60-J66J68),3,N/A,6480
8TH GRADE OR LESS,2021 **,Pneumoconioses and chemical effects (J60-J66J68),0,N/A,6483
8TH GRADE OR LESS,Total,Pneumoconioses and chemical effects (J60-J66J68),3,N/A,6486
9TH THRU 12TH GRADE; NO DIPLOMA,2020 **,Pneumoconioses and chemical effects (J60-J66J68),3,N/A,6489
9TH THRU 12TH GRADE; NO DIPLOMA,2021 **,Pneumoconioses and chemical effects (J60-J66J68),0,N/A,6492
9TH THRU 12TH GRADE; NO DIPLOMA,Total,Pneumoconioses and chemical effects (J60-J66J68),3,N/A,6495
HIGH SCHOOL GRADUATE OR GED,2020 **,Pneumoconioses and chemical effects (J60-J66J68),12,0.1,6498
HIGH SCHOOL GRADUATE OR GED,2021 **,Pneumoconioses and chemical effects (J60-J66J68),0,N/A,6501
HIGH SCHOOL GRADUATE OR GED,Total,Pneumoconioses and chemical effects (J60-J66J68),12,0.0,6504
COLLEGE BUT NO DEGREE,2020 **,Pneumoconioses and chemical effects (J60-J66J68),1,N/A,6507
COLLEGE BUT NO DEGREE,2021 **,Pneumoconioses and chemical effects (J60-J66J68),0,N/A,6510
COLLEGE BUT NO DEGREE,Total,Pneumoconioses and chemical effects (J60-J66J68),1,N/A,6513
ASSOCIATE DEGREE (E.G. AA AS),2020 **,Pneumoconioses and chemical effects (J60-J66J68),2,N/A,6516
ASSOCIATE DEGREE (E.G. AA AS),2021 **,Pneumoconioses and chemical effects (J60-J66J68),0,N/A,6519
ASSOCIATE DEGREE (E.G. AA AS),Total,Pneumoconioses and chemical effects (J60-J66J68),2,N/A,6522
BACHELORS DEGREE (E.G. BA AB BS),2020 **,Pneumoconioses and chemical effects (J60-J66J68),0,N/A,6525
BACHELORS DEGREE (E.G. BA AB BS),2021 **,Pneumoconioses and chemical effects (J60-J66J68),0,N/A,6528
BACHELORS DEGREE (E.G. BA AB BS),Total,Pneumoconioses and chemical effects (J60-J66J68),0,N/A,6531
MASTERS DEGREE (E.G. MA MS..),2020 **,Pneumoconioses and chemical effects (J60-J66J68),0,N/A,6534
MASTERS DEGREE (E.G. MA MS..),2021 **,Pneumoconioses and chemical effects (J60-J66J68),0,N/A,6537
MASTERS DEGREE (E.G. MA MS..),Total,Pneumoconioses and chemical effects (J60-J66J68),0,N/A,6540
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,2020 **,Pneumoconioses and chemical effects (J60-J66J68),0,N/A,6543
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,2021 **,Pneumoconioses and chemical effects (J60-J66J68),0,N/A,6546
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,Total,Pneumoconioses and chemical effects (J60-J66J68),0,N/A,6549
UNKNOWN,2020 **,Pneumoconioses and chemical effects (J60-J66J68),0,N/A,6552
UNKNOWN,2021 **,Pneumoconioses and chemical effects (J60-J66J68),0,N/A,6555
UNKNOWN,Total,Pneumoconioses and chemical effects (J60-J66J68),0,N/A,6558
Total,2020 **,Pneumoconioses and chemical effects (J60-J66J68),21,0.1,6561
Total,2021 **,Pneumoconioses and chemical effects (J60-J66J68),0,N/A,6564
Total,Total,Pneumoconioses and chemical effects (J60-J66J68),21,0.1,6567
8TH GRADE OR LESS,2020 **,Pneumonitis due to solids and liquids (J69),52,0.3,6570
8TH GRADE OR LESS,2021 **,Pneumonitis due to solids and liquids (J69),0,N/A,6573
8TH GRADE OR LESS,Total,Pneumonitis due to solids and liquids (J69),52,0.2,6576
9TH THRU 12TH GRADE; NO DIPLOMA,2020 **,Pneumonitis due to solids and liquids (J69),89,0.6,6579
9TH THRU 12TH GRADE; NO DIPLOMA,2021 **,Pneumonitis due to solids and liquids (J69),0,N/A,6582
9TH THRU 12TH GRADE; NO DIPLOMA,Total,Pneumonitis due to solids and liquids (J69),89,0.3,6585
HIGH SCHOOL GRADUATE OR GED,2020 **,Pneumonitis due to solids and liquids (J69),387,2.5,6588
HIGH SCHOOL GRADUATE OR GED,2021 **,Pneumonitis due to solids and liquids (J69),1,N/A,6591
HIGH SCHOOL GRADUATE OR GED,Total,Pneumonitis due to solids and liquids (J69),388,1.3,6594
COLLEGE BUT NO DEGREE,2020 **,Pneumonitis due to solids and liquids (J69),67,0.4,6597
COLLEGE BUT NO DEGREE,2021 **,Pneumonitis due to solids and liquids (J69),0,N/A,6600
COLLEGE BUT NO DEGREE,Total,Pneumonitis due to solids and liquids (J69),67,0.2,6603
ASSOCIATE DEGREE (E.G. AA AS),2020 **,Pneumonitis due to solids and liquids (J69),34,0.2,6606
ASSOCIATE DEGREE (E.G. AA AS),2021 **,Pneumonitis due to solids and liquids (J69),0,N/A,6609
ASSOCIATE DEGREE (E.G. AA AS),Total,Pneumonitis due to solids and liquids (J69),34,0.1,6612
BACHELORS DEGREE (E.G. BA AB BS),2020 **,Pneumonitis due to solids and liquids (J69),73,0.5,6615
BACHELORS DEGREE (E.G. BA AB BS),2021 **,Pneumonitis due to solids and liquids (J69),1,N/A,6618
BACHELORS DEGREE (E.G. BA AB BS),Total,Pneumonitis due to solids and liquids (J69),74,0.2,6621
MASTERS DEGREE (E.G. MA MS..),2020 **,Pneumonitis due to solids and liquids (J69),32,0.2,6624
MASTERS DEGREE (E.G. MA MS..),2021 **,Pneumonitis due to solids and liquids (J69),0,N/A,6627
MASTERS DEGREE (E.G. MA MS..),Total,Pneumonitis due to solids and liquids (J69),32,0.1,6630
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,2020 **,Pneumonitis due to solids and liquids (J69),16,0.1,6633
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,2021 **,Pneumonitis due to solids and liquids (J69),0,N/A,6636
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,Total,Pneumonitis due to solids and liquids (J69),16,0.1,6639
UNKNOWN,2020 **,Pneumonitis due to solids and liquids (J69),27,0.2,6642
UNKNOWN,2021 **,Pneumonitis due to solids and liquids (J69),0,N/A,6645
UNKNOWN,Total,Pneumonitis due to solids and liquids (J69),27,0.1,6648
Total,2020 **,Pneumonitis due to solids and liquids (J69),777,5.0,6651
Total,2021 **,Pneumonitis due to solids and liquids (J69),2,N/A,6654
Total,Total,Pneumonitis due to solids and liquids (J69),779,2.5,6657
8TH GRADE OR LESS,2020 **,Other diseases of respiratory system (J00-J06J30-J39J67J70-J98),121,0.9,6660
8TH GRADE OR LESS,2021 **,Other diseases of respiratory system (J00-J06J30-J39J67J70-J98),0,N/A,6663
8TH GRADE OR LESS,Total,Other diseases of respiratory system (J00-J06J30-J39J67J70-J98),121,0.4,6666
9TH THRU 12TH GRADE; NO DIPLOMA,2020 **,Other diseases of respiratory system (J00-J06J30-J39J67J70-J98),201,1.3,6669
9TH THRU 12TH GRADE; NO DIPLOMA,2021 **,Other diseases of respiratory system (J00-J06J30-J39J67J70-J98),1,N/A,6672
9TH THRU 12TH GRADE; NO DIPLOMA,Total,Other diseases of respiratory system (J00-J06J30-J39J67J70-J98),202,0.7,6675
HIGH SCHOOL GRADUATE OR GED,2020 **,Other diseases of respiratory system (J00-J06J30-J39J67J70-J98),1038,6.8,6678
HIGH SCHOOL GRADUATE OR GED,2021 **,Other diseases of respiratory system (J00-J06J30-J39J67J70-J98),0,N/A,6681
HIGH SCHOOL GRADUATE OR GED,Total,Other diseases of respiratory system (J00-J06J30-J39J67J70-J98),1038,3.4,6684
COLLEGE BUT NO DEGREE,2020 **,Other diseases of respiratory system (J00-J06J30-J39J67J70-J98),201,1.3,6687
COLLEGE BUT NO DEGREE,2021 **,Other diseases of respiratory system (J00-J06J30-J39J67J70-J98),0,N/A,6690
COLLEGE BUT NO DEGREE,Total,Other diseases of respiratory system (J00-J06J30-J39J67J70-J98),201,0.7,6693
ASSOCIATE DEGREE (E.G. AA AS),2020 **,Other diseases of respiratory system (J00-J06J30-J39J67J70-J98),103,0.7,6696
ASSOCIATE DEGREE (E.G. AA AS),2021 **,Other diseases of respiratory system (J00-J06J30-J39J67J70-J98),0,N/A,6699
ASSOCIATE DEGREE (E.G. AA AS),Total,Other diseases of respiratory system (J00-J06J30-J39J67J70-J98),103,0.3,6702
BACHELORS DEGREE (E.G. BA AB BS),2020 **,Other diseases of respiratory system (J00-J06J30-J39J67J70-J98),194,1.3,6705
BACHELORS DEGREE (E.G. BA AB BS),2021 **,Other diseases of respiratory system (J00-J06J30-J39J67J70-J98),0,N/A,6708
BACHELORS DEGREE (E.G. BA AB BS),Total,Other diseases of respiratory system (J00-J06J30-J39J67J70-J98),194,0.6,6711
MASTERS DEGREE (E.G. MA MS..),2020 **,Other diseases of respiratory system (J00-J06J30-J39J67J70-J98),55,0.4,6714
MASTERS DEGREE (E.G. MA MS..),2021 **,Other diseases of respiratory system (J00-J06J30-J39J67J70-J98),0,N/A,6717
MASTERS DEGREE (E.G. MA MS..),Total,Other diseases of respiratory system (J00-J06J30-J39J67J70-J98),55,0.2,6720
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,2020 **,Other diseases of respiratory system (J00-J06J30-J39J67J70-J98),29,0.2,6723
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,2021 **,Other diseases of respiratory system (J00-J06J30-J39J67J70-J98),0,N/A,6726
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,Total,Other diseases of respiratory system (J00-J06J30-J39J67J70-J98),29,0.1,6729
UNKNOWN,2020 **,Other diseases of respiratory system (J00-J06J30-J39J67J70-J98),25,0.2,6732
UNKNOWN,2021 **,Other diseases of respiratory system (J00-J06J30-J39J67J70-J98),0,N/A,6735
UNKNOWN,Total,Other diseases of respiratory system (J00-J06J30-J39J67J70-J98),25,0.1,6738
Total,2020 **,Other diseases of respiratory system (J00-J06J30-J39J67J70-J98),1967,12.9,6741
Total,2021 **,Other diseases of respiratory system (J00-J06J30-J39J67J70-J98),1,N/A,6744
Total,Total,Other diseases of respiratory system (J00-J06J30-J39J67J70-J98),1968,6.5,6747
8TH GRADE OR LESS,2020 **,Peptic ulcer (K25-K28),6,N/A,6750
8TH GRADE OR LESS,2021 **,Peptic ulcer (K25-K28),0,N/A,6753
8TH GRADE OR LESS,Total,Peptic ulcer (K25-K28),6,N/A,6756
9TH THRU 12TH GRADE; NO DIPLOMA,2020 **,Peptic ulcer (K25-K28),17,0.1,6759
9TH THRU 12TH GRADE; NO DIPLOMA,2021 **,Peptic ulcer (K25-K28),0,N/A,6762
9TH THRU 12TH GRADE; NO DIPLOMA,Total,Peptic ulcer (K25-K28),17,0.1,6765
HIGH SCHOOL GRADUATE OR GED,2020 **,Peptic ulcer (K25-K28),63,0.4,6768
HIGH SCHOOL GRADUATE OR GED,2021 **,Peptic ulcer (K25-K28),0,N/A,6771
HIGH SCHOOL GRADUATE OR GED,Total,Peptic ulcer (K25-K28),63,0.2,6774
COLLEGE BUT NO DEGREE,2020 **,Peptic ulcer (K25-K28),17,0.1,6777
COLLEGE BUT NO DEGREE,2021 **,Peptic ulcer (K25-K28),0,N/A,6780
COLLEGE BUT NO DEGREE,Total,Peptic ulcer (K25-K28),17,0.1,6783
ASSOCIATE DEGREE (E.G. AA AS),2020 **,Peptic ulcer (K25-K28),8,N/A,6786
ASSOCIATE DEGREE (E.G. AA AS),2021 **,Peptic ulcer (K25-K28),0,N/A,6789
ASSOCIATE DEGREE (E.G. AA AS),Total,Peptic ulcer (K25-K28),8,N/A,6792
BACHELORS DEGREE (E.G. BA AB BS),2020 **,Peptic ulcer (K25-K28),9,N/A,6795
BACHELORS DEGREE (E.G. BA AB BS),2021 **,Peptic ulcer (K25-K28),0,N/A,6798
BACHELORS DEGREE (E.G. BA AB BS),Total,Peptic ulcer (K25-K28),9,N/A,6801
MASTERS DEGREE (E.G. MA MS..),2020 **,Peptic ulcer (K25-K28),9,N/A,6804
MASTERS DEGREE (E.G. MA MS..),2021 **,Peptic ulcer (K25-K28),0,N/A,6807
MASTERS DEGREE (E.G. MA MS..),Total,Peptic ulcer (K25-K28),9,N/A,6810
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,2020 **,Peptic ulcer (K25-K28),3,N/A,6813
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,2021 **,Peptic ulcer (K25-K28),0,N/A,6816
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,Total,Peptic ulcer (K25-K28),3,N/A,6819
UNKNOWN,2020 **,Peptic ulcer (K25-K28),3,N/A,6822
UNKNOWN,2021 **,Peptic ulcer (K25-K28),0,N/A,6825
UNKNOWN,Total,Peptic ulcer (K25-K28),3,N/A,6828
Total,2020 **,Peptic ulcer (K25-K28),135,0.9,6831
Total,2021 **,Peptic ulcer (K25-K28),0,N/A,6834
Total,Total,Peptic ulcer (K25-K28),135,0.4,6837
8TH GRADE OR LESS,2020 **,Diseases of appendix (K35-K38),0,N/A,6840
8TH GRADE OR LESS,2021 **,Diseases of appendix (K35-K38),0,N/A,6843
8TH GRADE OR LESS,Total,Diseases of appendix (K35-K38),0,N/A,6846
9TH THRU 12TH GRADE; NO DIPLOMA,2020 **,Diseases of appendix (K35-K38),3,N/A,6849
9TH THRU 12TH GRADE; NO DIPLOMA,2021 **,Diseases of appendix (K35-K38),0,N/A,6852
9TH THRU 12TH GRADE; NO DIPLOMA,Total,Diseases of appendix (K35-K38),3,N/A,6855
HIGH SCHOOL GRADUATE OR GED,2020 **,Diseases of appendix (K35-K38),4,N/A,6858
HIGH SCHOOL GRADUATE OR GED,2021 **,Diseases of appendix (K35-K38),0,N/A,6861
HIGH SCHOOL GRADUATE OR GED,Total,Diseases of appendix (K35-K38),4,N/A,6864
COLLEGE BUT NO DEGREE,2020 **,Diseases of appendix (K35-K38),1,N/A,6867
COLLEGE BUT NO DEGREE,2021 **,Diseases of appendix (K35-K38),0,N/A,6870
COLLEGE BUT NO DEGREE,Total,Diseases of appendix (K35-K38),1,N/A,6873
ASSOCIATE DEGREE (E.G. AA AS),2020 **,Diseases of appendix (K35-K38),0,N/A,6876
ASSOCIATE DEGREE (E.G. AA AS),2021 **,Diseases of appendix (K35-K38),0,N/A,6879
ASSOCIATE DEGREE (E.G. AA AS),Total,Diseases of appendix (K35-K38),0,N/A,6882
BACHELORS DEGREE (E.G. BA AB BS),2020 **,Diseases of appendix (K35-K38),0,N/A,6885
BACHELORS DEGREE (E.G. BA AB BS),2021 **,Diseases of appendix (K35-K38),0,N/A,6888
BACHELORS DEGREE (E.G. BA AB BS),Total,Diseases of appendix (K35-K38),0,N/A,6891
MASTERS DEGREE (E.G. MA MS..),2020 **,Diseases of appendix (K35-K38),2,N/A,6894
MASTERS DEGREE (E.G. MA MS..),2021 **,Diseases of appendix (K35-K38),0,N/A,6897
MASTERS DEGREE (E.G. MA MS..),Total,Diseases of appendix (K35-K38),2,N/A,6900
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,2020 **,Diseases of appendix (K35-K38),0,N/A,6903
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,2021 **,Diseases of appendix (K35-K38),0,N/A,6906
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,Total,Diseases of appendix (K35-K38),0,N/A,6909
UNKNOWN,2020 **,Diseases of appendix (K35-K38),0,N/A,6912
UNKNOWN,2021 **,Diseases of appendix (K35-K38),0,N/A,6915
UNKNOWN,Total,Diseases of appendix (K35-K38),0,N/A,6918
Total,2020 **,Diseases of appendix (K35-K38),10,0.1,6921
Total,2021 **,Diseases of appendix (K35-K38),0,N/A,6924
Total,Total,Diseases of appendix (K35-K38),10,0.0,6927
8TH GRADE OR LESS,2020 **,Hernia (K40-K46),3,N/A,6930
8TH GRADE OR LESS,2021 **,Hernia (K40-K46),0,N/A,6933
8TH GRADE OR LESS,Total,Hernia (K40-K46),3,N/A,6936
9TH THRU 12TH GRADE; NO DIPLOMA,2020 **,Hernia (K40-K46),4,N/A,6939
9TH THRU 12TH GRADE; NO DIPLOMA,2021 **,Hernia (K40-K46),0,N/A,6942
9TH THRU 12TH GRADE; NO DIPLOMA,Total,Hernia (K40-K46),4,N/A,6945
HIGH SCHOOL GRADUATE OR GED,2020 **,Hernia (K40-K46),35,0.2,6948
HIGH SCHOOL GRADUATE OR GED,2021 **,Hernia (K40-K46),0,N/A,6951
HIGH SCHOOL GRADUATE OR GED,Total,Hernia (K40-K46),35,0.1,6954
COLLEGE BUT NO DEGREE,2020 **,Hernia (K40-K46),8,N/A,6957
COLLEGE BUT NO DEGREE,2021 **,Hernia (K40-K46),0,N/A,6960
COLLEGE BUT NO DEGREE,Total,Hernia (K40-K46),8,N/A,6963
ASSOCIATE DEGREE (E.G. AA AS),2020 **,Hernia (K40-K46),3,N/A,6966
ASSOCIATE DEGREE (E.G. AA AS),2021 **,Hernia (K40-K46),0,N/A,6969
ASSOCIATE DEGREE (E.G. AA AS),Total,Hernia (K40-K46),3,N/A,6972
BACHELORS DEGREE (E.G. BA AB BS),2020 **,Hernia (K40-K46),2,N/A,6975
BACHELORS DEGREE (E.G. BA AB BS),2021 **,Hernia (K40-K46),0,N/A,6978
BACHELORS DEGREE (E.G. BA AB BS),Total,Hernia (K40-K46),2,N/A,6981
MASTERS DEGREE (E.G. MA MS..),2020 **,Hernia (K40-K46),4,N/A,6984
MASTERS DEGREE (E.G. MA MS..),2021 **,Hernia (K40-K46),1,N/A,6987
MASTERS DEGREE (E.G. MA MS..),Total,Hernia (K40-K46),5,N/A,6990
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,2020 **,Hernia (K40-K46),0,N/A,6993
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,2021 **,Hernia (K40-K46),0,N/A,6996
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,Total,Hernia (K40-K46),0,N/A,6999
UNKNOWN,2020 **,Hernia (K40-K46),1,N/A,7002
UNKNOWN,2021 **,Hernia (K40-K46),0,N/A,7005
UNKNOWN,Total,Hernia (K40-K46),1,N/A,7008
Total,2020 **,Hernia (K40-K46),60,0.4,7011
Total,2021 **,Hernia (K40-K46),1,N/A,7014
Total,Total,Hernia (K40-K46),61,0.2,7017
8TH GRADE OR LESS,2020 **,Alcoholic liver disease (K70),19,0.1,7020
8TH GRADE OR LESS,2021 **,Alcoholic liver disease (K70),0,N/A,7023
8TH GRADE OR LESS,Total,Alcoholic liver disease (K70),19,0.1,7026
9TH THRU 12TH GRADE; NO DIPLOMA,2020 **,Alcoholic liver disease (K70),110,0.8,7029
9TH THRU 12TH GRADE; NO DIPLOMA,2021 **,Alcoholic liver disease (K70),0,N/A,7032
9TH THRU 12TH GRADE; NO DIPLOMA,Total,Alcoholic liver disease (K70),110,0.4,7035
HIGH SCHOOL GRADUATE OR GED,2020 **,Alcoholic liver disease (K70),459,3.2,7038
HIGH SCHOOL GRADUATE OR GED,2021 **,Alcoholic liver disease (K70),0,N/A,7041
HIGH SCHOOL GRADUATE OR GED,Total,Alcoholic liver disease (K70),459,1.6,7044
COLLEGE BUT NO DEGREE,2020 **,Alcoholic liver disease (K70),90,0.7,7047
COLLEGE BUT NO DEGREE,2021 **,Alcoholic liver disease (K70),0,N/A,7050
COLLEGE BUT NO DEGREE,Total,Alcoholic liver disease (K70),90,0.3,7053
ASSOCIATE DEGREE (E.G. AA AS),2020 **,Alcoholic liver disease (K70),51,0.4,7056
ASSOCIATE DEGREE (E.G. AA AS),2021 **,Alcoholic liver disease (K70),0,N/A,7059
ASSOCIATE DEGREE (E.G. AA AS),Total,Alcoholic liver disease (K70),51,0.2,7062
BACHELORS DEGREE (E.G. BA AB BS),2020 **,Alcoholic liver disease (K70),71,0.5,7065
BACHELORS DEGREE (E.G. BA AB BS),2021 **,Alcoholic liver disease (K70),0,N/A,7068
BACHELORS DEGREE (E.G. BA AB BS),Total,Alcoholic liver disease (K70),71,0.3,7071
MASTERS DEGREE (E.G. MA MS..),2020 **,Alcoholic liver disease (K70),13,0.1,7074
MASTERS DEGREE (E.G. MA MS..),2021 **,Alcoholic liver disease (K70),0,N/A,7077
MASTERS DEGREE (E.G. MA MS..),Total,Alcoholic liver disease (K70),13,0.0,7080
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,2020 **,Alcoholic liver disease (K70),7,N/A,7083
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,2021 **,Alcoholic liver disease (K70),0,N/A,7086
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,Total,Alcoholic liver disease (K70),7,N/A,7089
UNKNOWN,2020 **,Alcoholic liver disease (K70),9,N/A,7092
UNKNOWN,2021 **,Alcoholic liver disease (K70),0,N/A,7095
UNKNOWN,Total,Alcoholic liver disease (K70),9,N/A,7098
Total,2020 **,Alcoholic liver disease (K70),829,5.9,7101
Total,2021 **,Alcoholic liver disease (K70),0,N/A,7104
Total,Total,Alcoholic liver disease (K70),829,3.0,7107
8TH GRADE OR LESS,2020 **,Other chronic liver disease and cirrhosis (K73-K74),24,0.1,7110
8TH GRADE OR LESS,2021 **,Other chronic liver disease and cirrhosis (K73-K74),0,N/A,7113
8TH GRADE OR LESS,Total,Other chronic liver disease and cirrhosis (K73-K74),24,0.1,7116
9TH THRU 12TH GRADE; NO DIPLOMA,2020 **,Other chronic liver disease and cirrhosis (K73-K74),82,0.6,7119
9TH THRU 12TH GRADE; NO DIPLOMA,2021 **,Other chronic liver disease and cirrhosis (K73-K74),0,N/A,7122
9TH THRU 12TH GRADE; NO DIPLOMA,Total,Other chronic liver disease and cirrhosis (K73-K74),82,0.3,7125
HIGH SCHOOL GRADUATE OR GED,2020 **,Other chronic liver disease and cirrhosis (K73-K74),426,2.8,7128
HIGH SCHOOL GRADUATE OR GED,2021 **,Other chronic liver disease and cirrhosis (K73-K74),0,N/A,7131
HIGH SCHOOL GRADUATE OR GED,Total,Other chronic liver disease and cirrhosis (K73-K74),426,1.4,7134
COLLEGE BUT NO DEGREE,2020 **,Other chronic liver disease and cirrhosis (K73-K74),89,0.6,7137
COLLEGE BUT NO DEGREE,2021 **,Other chronic liver disease and cirrhosis (K73-K74),0,N/A,7140
COLLEGE BUT NO DEGREE,Total,Other chronic liver disease and cirrhosis (K73-K74),89,0.3,7143
ASSOCIATE DEGREE (E.G. AA AS),2020 **,Other chronic liver disease and cirrhosis (K73-K74),48,0.3,7146
