DeathAgeGroupNCIAgeNCI,DeathCOD113ICDCode113Desc,Deaths,DeathAgeAdjustedRate11,SORT
25 to 29,Other and unspecified malignant neoplasms of lymphoid hematopoietic and related tissue (C96),0,N/A,2349
30 to 34,Other and unspecified malignant neoplasms of lymphoid hematopoietic and related tissue (C96),0,N/A,2352
35 to 39,Other and unspecified malignant neoplasms of lymphoid hematopoietic and related tissue (C96),1,N/A,2355
40 to 44,Other and unspecified malignant neoplasms of lymphoid hematopoietic and related tissue (C96),0,N/A,2358
45 to 49,Other and unspecified malignant neoplasms of lymphoid hematopoietic and related tissue (C96),0,N/A,2361
50 to 54,Other and unspecified malignant neoplasms of lymphoid hematopoietic and related tissue (C96),0,N/A,2364
55 to 59,Other and unspecified malignant neoplasms of lymphoid hematopoietic and related tissue (C96),2,N/A,2367
60 to 64,Other and unspecified malignant neoplasms of lymphoid hematopoietic and related tissue (C96),3,N/A,2370
65 to 69,Other and unspecified malignant neoplasms of lymphoid hematopoietic and related tissue (C96),2,N/A,2373
70 to 74,Other and unspecified malignant neoplasms of lymphoid hematopoietic and related tissue (C96),3,N/A,2376
75 to 79,Other and unspecified malignant neoplasms of lymphoid hematopoietic and related tissue (C96),5,N/A,2379
80 to 84,Other and unspecified malignant neoplasms of lymphoid hematopoietic and related tissue (C96),0,N/A,2382
85 and older,Other and unspecified malignant neoplasms of lymphoid hematopoietic and related tissue (C96),10,0.0,2385
Unknown,Other and unspecified malignant neoplasms of lymphoid hematopoietic and related tissue (C96),0,N/A,2388
Total,Other and unspecified malignant neoplasms of lymphoid hematopoietic and related tissue (C96),26,0.0,2391
Less than 1,All other and unspecified malignant neoplasms (C17C23-C24C26-C31C37-C41C44-C49C51-C52C57-C60C62-C63C66C68-C69C73-C80C97),10,0.0,2394
1 to 4,All other and unspecified malignant neoplasms (C17C23-C24C26-C31C37-C41C44-C49C51-C52C57-C60C62-C63C66C68-C69C73-C80C97),51,0.0,2397
5 to 9,All other and unspecified malignant neoplasms (C17C23-C24C26-C31C37-C41C44-C49C51-C52C57-C60C62-C63C66C68-C69C73-C80C97),52,0.1,2400
10 to 14,All other and unspecified malignant neoplasms (C17C23-C24C26-C31C37-C41C44-C49C51-C52C57-C60C62-C63C66C68-C69C73-C80C97),68,0.1,2403
15 to 19,All other and unspecified malignant neoplasms (C17C23-C24C26-C31C37-C41C44-C49C51-C52C57-C60C62-C63C66C68-C69C73-C80C97),84,0.1,2406
20 to 24,All other and unspecified malignant neoplasms (C17C23-C24C26-C31C37-C41C44-C49C51-C52C57-C60C62-C63C66C68-C69C73-C80C97),157,0.2,2409
25 to 29,All other and unspecified malignant neoplasms (C17C23-C24C26-C31C37-C41C44-C49C51-C52C57-C60C62-C63C66C68-C69C73-C80C97),183,0.2,2412
30 to 34,All other and unspecified malignant neoplasms (C17C23-C24C26-C31C37-C41C44-C49C51-C52C57-C60C62-C63C66C68-C69C73-C80C97),201,0.3,2415
35 to 39,All other and unspecified malignant neoplasms (C17C23-C24C26-C31C37-C41C44-C49C51-C52C57-C60C62-C63C66C68-C69C73-C80C97),308,0.5,2418
40 to 44,All other and unspecified malignant neoplasms (C17C23-C24C26-C31C37-C41C44-C49C51-C52C57-C60C62-C63C66C68-C69C73-C80C97),516,0.8,2421
45 to 49,All other and unspecified malignant neoplasms (C17C23-C24C26-C31C37-C41C44-C49C51-C52C57-C60C62-C63C66C68-C69C73-C80C97),998,1.1,2424
50 to 54,All other and unspecified malignant neoplasms (C17C23-C24C26-C31C37-C41C44-C49C51-C52C57-C60C62-C63C66C68-C69C73-C80C97),1900,2.1,2427
55 to 59,All other and unspecified malignant neoplasms (C17C23-C24C26-C31C37-C41C44-C49C51-C52C57-C60C62-C63C66C68-C69C73-C80C97),2957,2.1,2430
60 to 64,All other and unspecified malignant neoplasms (C17C23-C24C26-C31C37-C41C44-C49C51-C52C57-C60C62-C63C66C68-C69C73-C80C97),4049,3.3,2433
65 to 69,All other and unspecified malignant neoplasms (C17C23-C24C26-C31C37-C41C44-C49C51-C52C57-C60C62-C63C66C68-C69C73-C80C97),4593,3.5,2436
70 to 74,All other and unspecified malignant neoplasms (C17C23-C24C26-C31C37-C41C44-C49C51-C52C57-C60C62-C63C66C68-C69C73-C80C97),5050,5.2,2439
75 to 79,All other and unspecified malignant neoplasms (C17C23-C24C26-C31C37-C41C44-C49C51-C52C57-C60C62-C63C66C68-C69C73-C80C97),5211,4.9,2442
80 to 84,All other and unspecified malignant neoplasms (C17C23-C24C26-C31C37-C41C44-C49C51-C52C57-C60C62-C63C66C68-C69C73-C80C97),5519,6.9,2445
85 and older,All other and unspecified malignant neoplasms (C17C23-C24C26-C31C37-C41C44-C49C51-C52C57-C60C62-C63C66C68-C69C73-C80C97),7771,3.3,2448
Unknown,All other and unspecified malignant neoplasms (C17C23-C24C26-C31C37-C41C44-C49C51-C52C57-C60C62-C63C66C68-C69C73-C80C97),35,N/A,2451
Total,All other and unspecified malignant neoplasms (C17C23-C24C26-C31C37-C41C44-C49C51-C52C57-C60C62-C63C66C68-C69C73-C80C97),39713,18.7,2454
Less than 1,In situ neoplasms benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48),25,0.0,2457
1 to 4,In situ neoplasms benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48),26,0.0,2460
5 to 9,In situ neoplasms benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48),21,0.0,2463
10 to 14,In situ neoplasms benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48),32,0.0,2466
15 to 19,In situ neoplasms benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48),22,0.0,2469
20 to 24,In situ neoplasms benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48),41,0.0,2472
25 to 29,In situ neoplasms benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48),37,0.0,2475
30 to 34,In situ neoplasms benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48),38,0.0,2478
35 to 39,In situ neoplasms benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48),70,0.1,2481
40 to 44,In situ neoplasms benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48),89,0.1,2484
45 to 49,In situ neoplasms benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48),148,0.2,2487
50 to 54,In situ neoplasms benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48),222,0.2,2490
55 to 59,In situ neoplasms benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48),379,0.3,2493
60 to 64,In situ neoplasms benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48),551,0.4,2496
65 to 69,In situ neoplasms benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48),721,0.6,2499
70 to 74,In situ neoplasms benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48),1060,1.1,2502
75 to 79,In situ neoplasms benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48),1308,1.2,2505
80 to 84,In situ neoplasms benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48),1630,2.0,2508
85 and older,In situ neoplasms benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48),3178,1.3,2511
Unknown,In situ neoplasms benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48),6,N/A,2514
Total,In situ neoplasms benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48),9604,4.5,2517
Less than 1,Anemias (D50-D64),6,N/A,2520
1 to 4,Anemias (D50-D64),9,N/A,2523
5 to 9,Anemias (D50-D64),9,N/A,2526
10 to 14,Anemias (D50-D64),6,N/A,2529
15 to 19,Anemias (D50-D64),14,0.0,2532
20 to 24,Anemias (D50-D64),26,0.0,2535
25 to 29,Anemias (D50-D64),31,0.0,2538
30 to 34,Anemias (D50-D64),46,0.1,2541
35 to 39,Anemias (D50-D64),44,0.1,2544
40 to 44,Anemias (D50-D64),47,0.1,2547
45 to 49,Anemias (D50-D64),46,0.1,2550
50 to 54,Anemias (D50-D64),80,0.1,2553
55 to 59,Anemias (D50-D64),79,0.1,2556
60 to 64,Anemias (D50-D64),134,0.1,2559
65 to 69,Anemias (D50-D64),203,0.2,2562
70 to 74,Anemias (D50-D64),246,0.3,2565
75 to 79,Anemias (D50-D64),311,0.3,2568
80 to 84,Anemias (D50-D64),448,0.6,2571
85 and older,Anemias (D50-D64),1371,0.6,2574
Unknown,Anemias (D50-D64),2,N/A,2577
Total,Anemias (D50-D64),3158,1.5,2580
Less than 1,Diabetes mellitus (E10-E14),2,N/A,2583
1 to 4,Diabetes mellitus (E10-E14),1,N/A,2586
5 to 9,Diabetes mellitus (E10-E14),5,N/A,2589
10 to 14,Diabetes mellitus (E10-E14),19,0.0,2592
15 to 19,Diabetes mellitus (E10-E14),39,0.0,2595
20 to 24,Diabetes mellitus (E10-E14),95,0.1,2598
25 to 29,Diabetes mellitus (E10-E14),149,0.2,2601
30 to 34,Diabetes mellitus (E10-E14),263,0.3,2604
35 to 39,Diabetes mellitus (E10-E14),439,0.7,2607
40 to 44,Diabetes mellitus (E10-E14),749,1.1,2610
45 to 49,Diabetes mellitus (E10-E14),1446,1.7,2613
50 to 54,Diabetes mellitus (E10-E14),2434,2.7,2616
55 to 59,Diabetes mellitus (E10-E14),3731,2.7,2619
60 to 64,Diabetes mellitus (E10-E14),5167,4.2,2622
65 to 69,Diabetes mellitus (E10-E14),5960,4.6,2625
70 to 74,Diabetes mellitus (E10-E14),6487,6.6,2628
75 to 79,Diabetes mellitus (E10-E14),6652,6.2,2631
80 to 84,Diabetes mellitus (E10-E14),6921,8.7,2634
85 and older,Diabetes mellitus (E10-E14),10894,4.6,2637
Unknown,Diabetes mellitus (E10-E14),36,N/A,2640
Total,Diabetes mellitus (E10-E14),51489,24.1,2643
Less than 1,Malnutrition (E40-E46),5,N/A,2646
1 to 4,Malnutrition (E40-E46),1,N/A,2649
5 to 9,Malnutrition (E40-E46),0,N/A,2652
10 to 14,Malnutrition (E40-E46),0,N/A,2655
15 to 19,Malnutrition (E40-E46),2,N/A,2658
20 to 24,Malnutrition (E40-E46),3,N/A,2661
25 to 29,Malnutrition (E40-E46),1,N/A,2664
30 to 34,Malnutrition (E40-E46),8,N/A,2667
35 to 39,Malnutrition (E40-E46),10,0.0,2670
40 to 44,Malnutrition (E40-E46),19,0.0,2673
45 to 49,Malnutrition (E40-E46),39,0.0,2676
50 to 54,Malnutrition (E40-E46),64,0.1,2679
55 to 59,Malnutrition (E40-E46),94,0.1,2682
60 to 64,Malnutrition (E40-E46),136,0.1,2685
65 to 69,Malnutrition (E40-E46),176,0.1,2688
70 to 74,Malnutrition (E40-E46),263,0.3,2691
75 to 79,Malnutrition (E40-E46),399,0.4,2694
80 to 84,Malnutrition (E40-E46),570,0.7,2697
85 and older,Malnutrition (E40-E46),1974,0.8,2700
Unknown,Malnutrition (E40-E46),3,N/A,2703
Total,Malnutrition (E40-E46),3767,1.7,2706
Less than 1,Other nutritional deficiencies (E50-E64),1,N/A,2709
1 to 4,Other nutritional deficiencies (E50-E64),1,N/A,2712
5 to 9,Other nutritional deficiencies (E50-E64),0,N/A,2715
10 to 14,Other nutritional deficiencies (E50-E64),0,N/A,2718
15 to 19,Other nutritional deficiencies (E50-E64),0,N/A,2721
20 to 24,Other nutritional deficiencies (E50-E64),0,N/A,2724
25 to 29,Other nutritional deficiencies (E50-E64),0,N/A,2727
30 to 34,Other nutritional deficiencies (E50-E64),1,N/A,2730
35 to 39,Other nutritional deficiencies (E50-E64),0,N/A,2733
40 to 44,Other nutritional deficiencies (E50-E64),0,N/A,2736
45 to 49,Other nutritional deficiencies (E50-E64),2,N/A,2739
50 to 54,Other nutritional deficiencies (E50-E64),4,N/A,2742
55 to 59,Other nutritional deficiencies (E50-E64),5,N/A,2745
60 to 64,Other nutritional deficiencies (E50-E64),4,N/A,2748
65 to 69,Other nutritional deficiencies (E50-E64),13,0.0,2751
70 to 74,Other nutritional deficiencies (E50-E64),4,N/A,2754
75 to 79,Other nutritional deficiencies (E50-E64),17,0.0,2757
80 to 84,Other nutritional deficiencies (E50-E64),12,0.0,2760
85 and older,Other nutritional deficiencies (E50-E64),45,0.0,2763
Unknown,Other nutritional deficiencies (E50-E64),1,N/A,2766
Total,Other nutritional deficiencies (E50-E64),110,0.1,2769
Less than 1,Meningitis (G00G03),32,0.0,2772
1 to 4,Meningitis (G00G03),4,N/A,2775
5 to 9,Meningitis (G00G03),2,N/A,2778
10 to 14,Meningitis (G00G03),3,N/A,2781
15 to 19,Meningitis (G00G03),3,N/A,2784
20 to 24,Meningitis (G00G03),3,N/A,2787
25 to 29,Meningitis (G00G03),7,N/A,2790
30 to 34,Meningitis (G00G03),6,N/A,2793
35 to 39,Meningitis (G00G03),13,0.0,2796
40 to 44,Meningitis (G00G03),16,0.0,2799
45 to 49,Meningitis (G00G03),25,0.0,2802
50 to 54,Meningitis (G00G03),20,0.0,2805
55 to 59,Meningitis (G00G03),28,0.0,2808
60 to 64,Meningitis (G00G03),38,0.0,2811
65 to 69,Meningitis (G00G03),24,0.0,2814
70 to 74,Meningitis (G00G03),15,0.0,2817
75 to 79,Meningitis (G00G03),20,0.0,2820
80 to 84,Meningitis (G00G03),14,0.0,2823
85 and older,Meningitis (G00G03),19,0.0,2826
Unknown,Meningitis (G00G03),0,N/A,2829
Total,Meningitis (G00G03),292,0.2,2832
Less than 1,Parkinson's disease (G20-G21),0,N/A,2835
1 to 4,Parkinson's disease (G20-G21),0,N/A,2838
5 to 9,Parkinson's disease (G20-G21),0,N/A,2841
10 to 14,Parkinson's disease (G20-G21),0,N/A,2844
15 to 19,Parkinson's disease (G20-G21),0,N/A,2847
20 to 24,Parkinson's disease (G20-G21),2,N/A,2850
25 to 29,Parkinson's disease (G20-G21),0,N/A,2853
30 to 34,Parkinson's disease (G20-G21),1,N/A,2856
35 to 39,Parkinson's disease (G20-G21),0,N/A,2859
40 to 44,Parkinson's disease (G20-G21),4,N/A,2862
45 to 49,Parkinson's disease (G20-G21),13,0.0,2865
50 to 54,Parkinson's disease (G20-G21),20,0.0,2868
55 to 59,Parkinson's disease (G20-G21),88,0.1,2871
60 to 64,Parkinson's disease (G20-G21),273,0.2,2874
65 to 69,Parkinson's disease (G20-G21),671,0.5,2877
70 to 74,Parkinson's disease (G20-G21),1452,1.5,2880
75 to 79,Parkinson's disease (G20-G21),2866,2.7,2883
80 to 84,Parkinson's disease (G20-G21),4134,5.2,2886
85 and older,Parkinson's disease (G20-G21),6426,2.7,2889
Unknown,Parkinson's disease (G20-G21),6,N/A,2892
Total,Parkinson's disease (G20-G21),15956,7.6,2895
Less than 1,Alzheimer's disease (G30),0,N/A,2898
1 to 4,Alzheimer's disease (G30),0,N/A,2901
5 to 9,Alzheimer's disease (G30),0,N/A,2904
10 to 14,Alzheimer's disease (G30),0,N/A,2907
15 to 19,Alzheimer's disease (G30),0,N/A,2910
20 to 24,Alzheimer's disease (G30),0,N/A,2913
25 to 29,Alzheimer's disease (G30),0,N/A,2916
30 to 34,Alzheimer's disease (G30),0,N/A,2919
35 to 39,Alzheimer's disease (G30),0,N/A,2922
40 to 44,Alzheimer's disease (G30),2,N/A,2925
45 to 49,Alzheimer's disease (G30),13,0.0,2928
50 to 54,Alzheimer's disease (G30),56,0.1,2931
55 to 59,Alzheimer's disease (G30),166,0.1,2934
60 to 64,Alzheimer's disease (G30),423,0.3,2937
65 to 69,Alzheimer's disease (G30),943,0.7,2940
70 to 74,Alzheimer's disease (G30),2554,2.6,2943
75 to 79,Alzheimer's disease (G30),6046,5.6,2946
80 to 84,Alzheimer's disease (G30),11809,14.8,2949
85 and older,Alzheimer's disease (G30),40930,17.3,2952
Unknown,Alzheimer's disease (G30),25,N/A,2955
Total,Alzheimer's disease (G30),62967,28.7,2958
Less than 1,Acute rheumatic fever and chronic rheumatic heart diseases (I00-I09),1,N/A,2961
1 to 4,Acute rheumatic fever and chronic rheumatic heart diseases (I00-I09),1,N/A,2964
5 to 9,Acute rheumatic fever and chronic rheumatic heart diseases (I00-I09),1,N/A,2967
10 to 14,Acute rheumatic fever and chronic rheumatic heart diseases (I00-I09),0,N/A,2970
15 to 19,Acute rheumatic fever and chronic rheumatic heart diseases (I00-I09),4,N/A,2973
20 to 24,Acute rheumatic fever and chronic rheumatic heart diseases (I00-I09),3,N/A,2976
25 to 29,Acute rheumatic fever and chronic rheumatic heart diseases (I00-I09),17,0.0,2979
30 to 34,Acute rheumatic fever and chronic rheumatic heart diseases (I00-I09),19,0.0,2982
35 to 39,Acute rheumatic fever and chronic rheumatic heart diseases (I00-I09),28,0.0,2985
40 to 44,Acute rheumatic fever and chronic rheumatic heart diseases (I00-I09),22,0.0,2988
45 to 49,Acute rheumatic fever and chronic rheumatic heart diseases (I00-I09),27,0.0,2991
50 to 54,Acute rheumatic fever and chronic rheumatic heart diseases (I00-I09),59,0.1,2994
55 to 59,Acute rheumatic fever and chronic rheumatic heart diseases (I00-I09),97,0.1,2997
60 to 64,Acute rheumatic fever and chronic rheumatic heart diseases (I00-I09),123,0.1,3000
65 to 69,Acute rheumatic fever and chronic rheumatic heart diseases (I00-I09),158,0.1,3003
70 to 74,Acute rheumatic fever and chronic rheumatic heart diseases (I00-I09),194,0.2,3006
75 to 79,Acute rheumatic fever and chronic rheumatic heart diseases (I00-I09),239,0.2,3009
80 to 84,Acute rheumatic fever and chronic rheumatic heart diseases (I00-I09),315,0.4,3012
85 and older,Acute rheumatic fever and chronic rheumatic heart diseases (I00-I09),661,0.3,3015
Unknown,Acute rheumatic fever and chronic rheumatic heart diseases (I00-I09),4,N/A,3018
Total,Acute rheumatic fever and chronic rheumatic heart diseases (I00-I09),1973,0.9,3021
Less than 1,Hypertensive heart disease (I11),0,N/A,3024
1 to 4,Hypertensive heart disease (I11),1,N/A,3027
5 to 9,Hypertensive heart disease (I11),0,N/A,3030
10 to 14,Hypertensive heart disease (I11),0,N/A,3033
15 to 19,Hypertensive heart disease (I11),4,N/A,3036
20 to 24,Hypertensive heart disease (I11),31,0.0,3039
25 to 29,Hypertensive heart disease (I11),82,0.1,3042
30 to 34,Hypertensive heart disease (I11),170,0.2,3045
35 to 39,Hypertensive heart disease (I11),344,0.5,3048
40 to 44,Hypertensive heart disease (I11),608,0.9,3051
45 to 49,Hypertensive heart disease (I11),1036,1.2,3054
50 to 54,Hypertensive heart disease (I11),1681,1.8,3057
55 to 59,Hypertensive heart disease (I11),2125,1.5,3060
60 to 64,Hypertensive heart disease (I11),2276,1.8,3063
65 to 69,Hypertensive heart disease (I11),1907,1.5,3066
70 to 74,Hypertensive heart disease (I11),1756,1.8,3069
75 to 79,Hypertensive heart disease (I11),1813,1.7,3072
80 to 84,Hypertensive heart disease (I11),2520,3.2,3075
85 and older,Hypertensive heart disease (I11),8882,3.8,3078
Unknown,Hypertensive heart disease (I11),29,N/A,3081
Total,Hypertensive heart disease (I11),25265,11.8,3084
Less than 1,Hypertensive heart and renal disease (I13),0,N/A,3087
1 to 4,Hypertensive heart and renal disease (I13),0,N/A,3090
5 to 9,Hypertensive heart and renal disease (I13),0,N/A,3093
10 to 14,Hypertensive heart and renal disease (I13),0,N/A,3096
15 to 19,Hypertensive heart and renal disease (I13),1,N/A,3099
20 to 24,Hypertensive heart and renal disease (I13),1,N/A,3102
25 to 29,Hypertensive heart and renal disease (I13),5,N/A,3105
30 to 34,Hypertensive heart and renal disease (I13),13,0.0,3108
35 to 39,Hypertensive heart and renal disease (I13),22,0.0,3111
40 to 44,Hypertensive heart and renal disease (I13),33,0.0,3114
45 to 49,Hypertensive heart and renal disease (I13),53,0.1,3117
50 to 54,Hypertensive heart and renal disease (I13),92,0.1,3120
55 to 59,Hypertensive heart and renal disease (I13),115,0.1,3123
60 to 64,Hypertensive heart and renal disease (I13),159,0.1,3126
65 to 69,Hypertensive heart and renal disease (I13),203,0.2,3129
70 to 74,Hypertensive heart and renal disease (I13),246,0.3,3132
75 to 79,Hypertensive heart and renal disease (I13),327,0.3,3135
80 to 84,Hypertensive heart and renal disease (I13),451,0.6,3138
85 and older,Hypertensive heart and renal disease (I13),1586,0.7,3141
Unknown,Hypertensive heart and renal disease (I13),3,N/A,3144
Total,Hypertensive heart and renal disease (I13),3310,1.5,3147
Less than 1,Acute myocardial infarction (I21-I22),2,N/A,3150
1 to 4,Acute myocardial infarction (I21-I22),1,N/A,3153
5 to 9,Acute myocardial infarction (I21-I22),0,N/A,3156
10 to 14,Acute myocardial infarction (I21-I22),1,N/A,3159
15 to 19,Acute myocardial infarction (I21-I22),7,N/A,3162
20 to 24,Acute myocardial infarction (I21-I22),20,0.0,3165
25 to 29,Acute myocardial infarction (I21-I22),45,0.1,3168
30 to 34,Acute myocardial infarction (I21-I22),168,0.2,3171
35 to 39,Acute myocardial infarction (I21-I22),356,0.5,3174
40 to 44,Acute myocardial infarction (I21-I22),839,1.3,3177
45 to 49,Acute myocardial infarction (I21-I22),1653,1.9,3180
50 to 54,Acute myocardial infarction (I21-I22),3152,3.5,3183
55 to 59,Acute myocardial infarction (I21-I22),4684,3.4,3186
60 to 64,Acute myocardial infarction (I21-I22),6023,4.9,3189
65 to 69,Acute myocardial infarction (I21-I22),6697,5.2,3192
70 to 74,Acute myocardial infarction (I21-I22),7292,7.5,3195
75 to 79,Acute myocardial infarction (I21-I22),8219,7.7,3198
80 to 84,Acute myocardial infarction (I21-I22),9821,12.3,3201
85 and older,Acute myocardial infarction (I21-I22),21173,9.0,3204
Unknown,Acute myocardial infarction (I21-I22),95,N/A,3207
Total,Acute myocardial infarction (I21-I22),70248,32.6,3210
Less than 1,Other acute ischemic heart diseases (I24),3,N/A,3213
1 to 4,Other acute ischemic heart diseases (I24),0,N/A,3216
5 to 9,Other acute ischemic heart diseases (I24),0,N/A,3219
10 to 14,Other acute ischemic heart diseases (I24),0,N/A,3222
15 to 19,Other acute ischemic heart diseases (I24),1,N/A,3225
20 to 24,Other acute ischemic heart diseases (I24),1,N/A,3228
25 to 29,Other acute ischemic heart diseases (I24),2,N/A,3231
30 to 34,Other acute ischemic heart diseases (I24),11,0.0,3234
35 to 39,Other acute ischemic heart diseases (I24),17,0.0,3237
40 to 44,Other acute ischemic heart diseases (I24),43,0.1,3240
45 to 49,Other acute ischemic heart diseases (I24),89,0.1,3243
50 to 54,Other acute ischemic heart diseases (I24),140,0.2,3246
55 to 59,Other acute ischemic heart diseases (I24),209,0.1,3249
60 to 64,Other acute ischemic heart diseases (I24),247,0.2,3252
65 to 69,Other acute ischemic heart diseases (I24),332,0.3,3255
70 to 74,Other acute ischemic heart diseases (I24),301,0.3,3258
75 to 79,Other acute ischemic heart diseases (I24),346,0.3,3261
80 to 84,Other acute ischemic heart diseases (I24),375,0.5,3264
85 and older,Other acute ischemic heart diseases (I24),777,0.3,3267
Unknown,Other acute ischemic heart diseases (I24),3,N/A,3270
Total,Other acute ischemic heart diseases (I24),2897,1.4,3273
Less than 1,Atherosclerotic cardiovascular disease so described (I25.0),0,N/A,3276
1 to 4,Atherosclerotic cardiovascular disease so described (I25.0),0,N/A,3279
5 to 9,Atherosclerotic cardiovascular disease so described (I25.0),1,N/A,3282
10 to 14,Atherosclerotic cardiovascular disease so described (I25.0),0,N/A,3285
15 to 19,Atherosclerotic cardiovascular disease so described (I25.0),2,N/A,3288
20 to 24,Atherosclerotic cardiovascular disease so described (I25.0),15,0.0,3291
25 to 29,Atherosclerotic cardiovascular disease so described (I25.0),65,0.1,3294
30 to 34,Atherosclerotic cardiovascular disease so described (I25.0),147,0.2,3297
35 to 39,Atherosclerotic cardiovascular disease so described (I25.0),330,0.5,3300
40 to 44,Atherosclerotic cardiovascular disease so described (I25.0),648,1.0,3303
45 to 49,Atherosclerotic cardiovascular disease so described (I25.0),1317,1.5,3306
50 to 54,Atherosclerotic cardiovascular disease so described (I25.0),2347,2.6,3309
55 to 59,Atherosclerotic cardiovascular disease so described (I25.0),3216,2.3,3312
60 to 64,Atherosclerotic cardiovascular disease so described (I25.0),3640,2.9,3315
65 to 69,Atherosclerotic cardiovascular disease so described (I25.0),3263,2.5,3318
70 to 74,Atherosclerotic cardiovascular disease so described (I25.0),2724,2.8,3321
75 to 79,Atherosclerotic cardiovascular disease so described (I25.0),2691,2.5,3324
80 to 84,Atherosclerotic cardiovascular disease so described (I25.0),3083,3.9,3327
85 and older,Atherosclerotic cardiovascular disease so described (I25.0),7417,3.1,3330
Unknown,Atherosclerotic cardiovascular disease so described (I25.0),68,N/A,3333
Total,Atherosclerotic cardiovascular disease so described (I25.0),30974,14.4,3336
Less than 1,All other forms of chronic ischemic heart disease (I20I25.1-I25.9),0,N/A,3339
1 to 4,All other forms of chronic ischemic heart disease (I20I25.1-I25.9),5,N/A,3342
5 to 9,All other forms of chronic ischemic heart disease (I20I25.1-I25.9),2,N/A,3345
10 to 14,All other forms of chronic ischemic heart disease (I20I25.1-I25.9),4,N/A,3348
15 to 19,All other forms of chronic ischemic heart disease (I20I25.1-I25.9),7,N/A,3351
20 to 24,All other forms of chronic ischemic heart disease (I20I25.1-I25.9),17,0.0,3354
25 to 29,All other forms of chronic ischemic heart disease (I20I25.1-I25.9),39,0.0,3357
30 to 34,All other forms of chronic ischemic heart disease (I20I25.1-I25.9),140,0.2,3360
35 to 39,All other forms of chronic ischemic heart disease (I20I25.1-I25.9),309,0.5,3363
40 to 44,All other forms of chronic ischemic heart disease (I20I25.1-I25.9),672,1.0,3366
45 to 49,All other forms of chronic ischemic heart disease (I20I25.1-I25.9),1497,1.7,3369
50 to 54,All other forms of chronic ischemic heart disease (I20I25.1-I25.9),2845,3.1,3372
55 to 59,All other forms of chronic ischemic heart disease (I20I25.1-I25.9),4692,3.4,3375
60 to 64,All other forms of chronic ischemic heart disease (I20I25.1-I25.9),6733,5.4,3378
65 to 69,All other forms of chronic ischemic heart disease (I20I25.1-I25.9),8707,6.7,3381
70 to 74,All other forms of chronic ischemic heart disease (I20I25.1-I25.9),11166,11.4,3384
75 to 79,All other forms of chronic ischemic heart disease (I20I25.1-I25.9),14696,13.7,3387
80 to 84,All other forms of chronic ischemic heart disease (I20I25.1-I25.9),20237,25.3,3390
85 and older,All other forms of chronic ischemic heart disease (I20I25.1-I25.9),53527,22.7,3393
Unknown,All other forms of chronic ischemic heart disease (I20I25.1-I25.9),105,N/A,3396
Total,All other forms of chronic ischemic heart disease (I20I25.1-I25.9),125400,57.7,3399
Less than 1,Acute and subacute endocarditis (I33),0,N/A,3402
1 to 4,Acute and subacute endocarditis (I33),0,N/A,3405
5 to 9,Acute and subacute endocarditis (I33),0,N/A,3408
10 to 14,Acute and subacute endocarditis (I33),0,N/A,3411
15 to 19,Acute and subacute endocarditis (I33),0,N/A,3414
20 to 24,Acute and subacute endocarditis (I33),12,0.0,3417
25 to 29,Acute and subacute endocarditis (I33),31,0.0,3420
30 to 34,Acute and subacute endocarditis (I33),47,0.1,3423
35 to 39,Acute and subacute endocarditis (I33),42,0.1,3426
40 to 44,Acute and subacute endocarditis (I33),35,0.1,3429
45 to 49,Acute and subacute endocarditis (I33),59,0.1,3432
50 to 54,Acute and subacute endocarditis (I33),62,0.1,3435
55 to 59,Acute and subacute endocarditis (I33),95,0.1,3438
60 to 64,Acute and subacute endocarditis (I33),113,0.1,3441
65 to 69,Acute and subacute endocarditis (I33),104,0.1,3444
70 to 74,Acute and subacute endocarditis (I33),90,0.1,3447
75 to 79,Acute and subacute endocarditis (I33),106,0.1,3450
80 to 84,Acute and subacute endocarditis (I33),84,0.1,3453
85 and older,Acute and subacute endocarditis (I33),91,0.0,3456
Unknown,Acute and subacute endocarditis (I33),1,N/A,3459
Total,Acute and subacute endocarditis (I33),972,0.5,3462
Less than 1,Diseases of pericardium and acute myocarditis (I30-I31I40),6,N/A,3465
